ID,CLASS,QUESTION,LEMMA,ANSWER,TAGSET
34,이중전공,저는 글캠 통번역대에서 서울캠 아시아언어문화대로 전과한 19학번입니다.전과하기 전 학과에서 전공을 24학점 이수하여 전과한 후 24학점이 모두 자선으로 변경된 상태입니다.1. 자선학점을 교양학점으로 변경할 수 있다는 것을 수강편람에서 봐서 12학점을 교양으로 넘길 예정입니다. 2. 그리고 전과하기 전 학과의 언어를 서울캠에서 이중전공으로 하고 싶은데 이제 가능할지가 일단 궁금합니다.3. 만약 가능하다면 교양으로 12학점을 넘기고 남은 자선 12학점 중 6학점을 이중전공으로 넘기고 싶은데 이것도 가능할까요? 이게 가능할 거라고 생각한 이유는 전과하기 전 학과의 언어와 이중전공의 언어가 같기 때문입니다. 그리고 제가 받은 자선학점은 모두 한 언어에 대한 학점이고요.,저 는 글 캠 통번역대 에서 서울 캠 아시아 언어 문화 대로 전과 하 ㄴ 19 학번 이 ㅂ니다 . 전과 하 기 전 학과 에서 전공 을 24 학점 이수 하 여 전과 하 ㄴ 후 24 학점 이 모두 자선 으로 변경 되 ㄴ 상태 이 ㅂ니다 . 1 . 자선 학점 을 교양 학점 으로 변경 하 ㄹ 수 있 다는 것 을 수강편람 에서 보 어서 12 학점 을 교양 으로 넘기 ㄹ 예정 이 ㅂ니다 . 2 . 그리고 전과 하 기 전 학과 의 언어 를 서울캠 에서 이중전공 으로 하 고 싶 은 데 이제 가능 하 ㄹ지 가 일단 궁금 하 ㅂ니다 . 3 . 만약 가능 하 다면 교양 으로 12 학점 을 넘기 고 남은 자선 12 학점 중 6 학점 을 이중전공 으로 넘기 고 싶 은데 이것 도 가능 하 ㄹ까요 ? 이 게 가능 하 ㄹ 거 이 라고 생각 하 ㄴ 이유 는 전과 하 기 전 학과 의 언어 와 이중전공 의 언어 가 같 기 때문 이 ㅂ니다 . 그리고 제 가 받 은 자선 학점 은 모두 한 언어 에 대하 ㄴ 학점 이 고요 .,,
35,이중전공,정외 이중전공 결과 안뜬거 맞지 아직 ?,정 외 이중전공 결과 안 뜨 ㄴ 거 맞 지 아직 ?,,
36,이중전공,이중전공 1학기 마치고 신청할 수 있어요?,이중전공 1 학기 마치 고 신청 하 ㄹ 수 있 어요 ?,,
37,이중전공,이번에 3학년 복학인데 이중전공 부전공으로 내리는 기간 언제인가요..??,이번 에 3 학년 복학 이 ㄴ 데 이중전공 부전공 으로 내리 는 기간 언제 이 ㄴ가요 ..??,,
38,이중전공,이중전공 발표난 과 있나용...?,이중전공 발표 난 과 있 나 용 ...?,,
39,이중전공,(이제 2학년 입니다)이중전공 일단 신청은 해뒀지만 벌써 바꾸고 싶은데정정기간까지 한학기? 두학기? 기다려야 되니까그 때 동안 신청해둔 이중전공에 대한 과목을 수강신청안하고 안들으면 되는거죠?,( 이제 2 학년 이 ㅂ니다 ) 이중전공 일단 신청 은 하 어 두 었 지만 벌써 바꾸 고 싶 은데 정정 기간 까지 한 학기 ? 두 학기 ? 기다리 어야 되 니까 그 때 동안 신청 하 어 두 ㄴ 이중전공 에 대하 ㄴ 과목 을 수강 신청 안 하 고 안 듣 으면 되 는 거 이 죠 ?,,
40,이중전공,이중전공 바꾸면 전에 듣던 이중전공 학점음 자선  된다는게 무슨 소리에요?,이중전공 바꾸 면 전 에 듣 던 이중전공 학점 음 자선 되 ㄴ다는 것 이 무슨 소리 이 에요 ?,,
41,이중전공,이중전공 변경 언제하시는지 아는분?,이중전공 변경 언제 하 시 는지 알 는 분 ?,,
42,이중전공,경영 이중전공2학년 때 부전공으로 경영듣고 3학년 때 이중전공으로 신청하려구 하는데 이중전공 시험볼 때 도움되는 과목은 어떤게 있을까요??ㅎㅎ,경영 이중전공 2 학년 때 부전공 으로 경영 듣 고 3 학년 때 이중전공 으로 신청 하 려구 하 는데 이중전공 시험 보 ㄹ 때 도움 되 는 과목 은 어떤 게 있 을까요 ?? ㅎㅎ,,
43,이중전공,혹시 lt 이중전공하시는 분 계신가요? 질문하고 싶은 게 있는데 있으시다면쪽지부탁드립니다ㅠㅠ,혹시 lt 이중전공 하 시 는 분 계시 ㄴ가요 ? 질문 하 고 싶 은 게 있 는 데 있 으시 다면 쪽지 부탁 드리 ㅂ니다 ㅠㅠ,,
44,이중전공,"궁금한 게 있는데요,국제학부 같은 경우는 이중전공도 원래 전공과 전필이 똑같은가요??그리고, 다 1,2학기 모두 국제학부는 학년이 1학년으로만 되어있던데 그 커리큘럼을 그대로 3,4학년때도 하는 건가요...? ??알려주세요~~!!ㅠ","궁금 하 ㄴ 게 있 는데요 , 국제 학부 같 은 경우 는 이중전공 도 원래 전공 과 전 필 이 똑같 은 가 요 ?? 그리고 , 다 1 , 2 학기 모두 국제 학부 는 학년 이 1 학년 으로 만 되 어 있 던데 그 커리큘럼 을 그대로 3 , 4 학년 때 도 하 는 거 이 ㄴ가요 ...? ?? 알리 어 주 시 어요 ~~ !! ㅠ",,
45,이중전공,교육학 이중전공은 없나요? ㅠㅠㅠ,교육학 이중전공 은 없 나요 ? ㅠㅠㅠ,,
46,이중전공,이중전공 결과 언제 나와요?,이중전공 결과 언제 나오 어요 ?,,
47,이중전공,정치외교 이중전공 하신 선배님들 한번만 도와주세용 ㅠㅠㅠㅠㅠㅠㅠ,정치 외교 이중전공 하 시 ㄴ 선배 님 들 한 번 만 도와주 세 용 ㅠㅠㅠㅠㅠㅠㅠ,,
48,이중전공,중통이중전공 혼자 하는데 다니기 어렵네요.. 내년엔 또 어떻게 해야좋을지 막막쓰^^,중통 이중전공 혼자 하 는 데 다니 기 어렵 네요 .. 내년 에 ㄴ 또 어떻게 하 어야 좋 을지 막막 쓰 ^^,,
49,이중전공,정치외교 이중전공 면접 언제 뜨나요 ㅠ,정치 외교 이중전공 면접 언제 뜨 나요 ㅠ,,
50,이중전공,이중전공 신청 기간 착각하고 신청 못했는데 다른 방법이 있을까요ㅠㅠㅠㅠㅠ??,이중전공 신청 기간 착각 하 고 신청 못 하 었 는데 다른 방법 이 있 을까요 ㅠㅠㅠㅠㅠ ??,,
51,이중전공,만약 전과를 생각중이라면 이중전공 신청을 안하는게 맞을까요?,만약 전과 를 생각 중 이 라면 이중전공 신청 을 안 하 는 것 이 맞 을까요 ?,,
52,이중전공,<독통 이중전공을 신청했습니다>1. 원래 독통을 부전공으로 하려고 했는데 신청기간 안에 뭐라도 기입하긴 해야할 것 같아 이중으로 넣었습니다. 추후에 부전공으로 변경 가능한가요?2. 독일어는 어느 정도로 준비해야 커리큘럼 따라잡을 수 있나요?,< 독 통 이중전공 을 신청 하 었 습니다 > 1 . 원래 독 통 을 부전공 으로 하 려고 하 었 는데 신청 기간 안 에 뭐 이 라도 기입 하 기 ㄴ 하 어야 하 ㄹ 것 같 어 이중 으로 넣 었 습니다 . 추후 에 부전공 으로 변경 가능 하 ㄴ가요 ? 2 . 독일어 는 어느 정도 로 준비 하 어야 커리큘럼 따라잡 을 수 있 나요 ?,,
53,이중전공,전자공학이랑 컴공 중이중전공뭐할까요 어디가 더 나을까요 자대인데ㅠ,전자공학 이랑 컴 공 중 이중전공 뭐 하 ㄹ까요 어디 가 더 낫 을까요 자대 이 ㄴ데 ㅠ,,
54,이중전공,공무원이나 공기업쪽 생각하고있는데 이중전공으로 경영이 나을까요 경제가 나을까요?,공무원 이나 공기업 쪽 생각 하 고 있 는 데 이중전공 으로 경영 이 낫 을까요 경제 가 낫 을까요 ?,,
55,이중전공,설캠에서 융소 이중전공하면 글캠으로 수업들으러가야되나요..?,설캠 에서 융 소 이중전공 하 면 글캠 으로 수업 듣 으러 가 어야 되 나요 ..?,,
56,이중전공,이중전공이 취소신청도안했는데 사라진건 어떻게된일이죠?? 수업을안들었다고 그럴수있나요??,이중전공 이 취소 신청 도 안 하 었 는데 사라지 ㄴ 거 ㄴ 어떻게 되 ㄴ 일 이 죠 ?? 수업 을 안 듣 었 다고 그러 ㄹ 수 있 나요 ??,,
57,이중전공,부전공하다가 다른 이중전공 신청 가능한가요?예를들면 경영부전공하다가 다음 이중전공 신청기간때 융소이중전공 신청 가능한가요??만약에 된다면 기존에 하던 부전공 하던건 어떻게 되나요?~??,부전공 하 다가 다른 이중전공 신청 가능 하 ㄴ가요 ? 예 를 들 면 경영 부전공 하 다가 다음 이중전공 신청 기간 때 융소 이중전공 신청 가능 하 ㄴ가요 ?? 만약 에 되 ㄴ다면 기존 에 하 던 부전공 하 던 거 ㄴ 어떻게 되 나요 ? ~ ??,,
58,이중전공,34학점 미만인 사람은 이중전공변경신청때 신청하는게 최선이겠네요??경영 이중하려면ㅠㅠ,34 학점 미만 이 ㄴ 사람 은 이중전공 변경 신청 때 신청 하 는 것 이 최선 이 겠 네요 ?? 경영 이 중하 려면 ㅠㅠ,,
59,이중전공,이중전공신청에 순번은 무슨 의미인가요?,이중전공 신청 에 순번 은 무슨 의미 이 ㄴ가요 ?,,
60,이중전공,eicc 이중전공 장단점 알려주세요!,eicc 이중전공 장단점 알리 어 주 시 어요 !,,
61,이중전공,이중전공은 국제금융 어렵나요??,이중전공 은 국제 금융 어렵 나요 ??,,
62,부전공,"글캠 공대 재학중인데 설캠 경영으로 전과 생각중입니다! 1. 경영 전과 자격요건인 34학점 이상 평점 3.5, 토익 800 이상이면 지원자격은 주어지는 것 맞죠? 전과성공하려면 학점 4.0은 넘어야한다는 분들이 많았던거같아서 여쭤봅니다2. 전출한 과로 이중 및 부전공이 불가능한걸로 알고있는데 설캠 경영으로 간 다음 융합소프트웨어전공으로 공학쪽도 계속할 수 있을까요?","글 캐 ㅁ 공대 재학 중 이 ㄴ데 설 캠 경영 으로 전과 생각 중 이 ㅂ니다 ! 1 . 경영 전과 자격 요건 이 ㄴ 34 학점 이상 평점 3 . 5 , 토익 800 이상 이 면 지원 자격 은 주어지 는 것 맞 죠 ? 전과 성공 하 려면 학점 4 . 0 은 넘 어야 하 ㄴ다는 분 들 이 많 었 던 거 같 어서 여쭈 어 보 ㅂ니다 2 . 전출 하 ㄴ 과로 이중 및 부전공 이 불 가능 하 ㄴ 거 ㄹ로 알 고 있 는데 서 ㄹ 캠 경영 으로 가 ㄴ 다음 융합 소프트웨어 전공 으로 공학 쪽 도 계속 하 ㄹ 수 있 을까요 ?",,
63,이중전공,국제학부 이중 하시는 분 후기 궁금합니다 ㅠㅠ공부하는 분야가 다양하다보니까 조금 애매하지 않나 고민이 되기도 하고 ㅠㅠ본전공은 서양어대이고 이중전공 국통이랑 국제학부랑 고민 중입니다,국제 학부 이중 하 시 는 분 후기 궁금 하 ㅂ니다 ㅠㅠ 공부 하 는 분야 가 다양 하 다 보 니까 조금 애매 하 지 않 나 고민 이 되 기 도 하 고 ㅠㅠ 본 전공 은 서양어대 이 고 이중전공 국통 이 랑 국제학부 랑 고민 중 이 ㅂ니다,,
64,이중전공,글캠인데 서울에 있는 영어과 대학으로는 전부 이중전공 안되는건가요??,글캠 이 ㄴ데 서울 에 있 는 영어 과 대학 으로 는 전부 이중전공 안 되 는 거 이 ㄴ가요 ??,,
65,이중전공,1학년 1학기에 학고받으면 이중전공 신청 못하나요???,1 학년 1 학기 에 학고 받 으면 이중전공 신청 못 하 나요 ???,,
66,부전공,융소 이중 신청할 때 학점 컷 같은거 있나요..? 부전공으로 신청 되는지도 궁금합니다 ㅠㅠ어디서 찾아봐야 할지도 모르겠구요,융 소 이중 신청 하 ㄹ 때 학점 컷 같 은 거 있 나요 ..? 부전공 으로 신청 되 는지 도 궁금 하 ㅂ니다 ㅠㅠ 어디 서 찾아보 어야 하 ㄹ지 도 모르 겠 구요,,
67,이중전공,부전공했다가 이중전공으로 올리면 부전공때 들었던 학점은 이중전공 학점으로 옮겨지나요?,부전공 하 었 다가 이중전공 으로 올리 면 부전공 때 듣 었 던 학점 은 이중전공 학점 으로 옮기 어 지 나요 ?,,
68,이중전공,1전공이 소수언어고 이중전공 통대 하는거 어때요?,1 전공 이 소수언어 이 고 이중전공 통 대 하 는 거 어떻 어요 ?,,
69,이중전공,GBT 1전공생은 주로 이중전공 뭐하나요??,GBT 1 전 공생 은 주로 이중전공 뭐 하 나요 ??,,
70,부전공,저 국금 부전공에서 이중으로 올리려면 학점 어느정도 돼야 할까여?,저 국 금 부전공 에서 이중 으로 올리 려면 학점 어느 정도 되 어야 하 ㄹ까 이 여 ?,,
71,부전공,현재 경영 부전공이고이번에 이중으로 올리려고 하는데학점이 3.0이 안넘어서요..혹시 어떻게 하면 좋을까요??ㅠㅠㅠㅠ,현재 경영 부전공 이 고 이번 에 이중 으로 올리 려고 하 는데 학점 이 3 . 0 이 안 넘 어서 요 .. 혹시 어떻게 하 면 좋 을까요 ?? ㅠㅠㅠㅠ,,
72,이중전공,2학년때 이중전공 스통으로 할까 고민중인데 학점받기 어려울까요?,2 학년 때 이중전공 스통 으로 하 ㄹ까 고민 중 이 ㄴ데 학점 받 기 어렵 을 까요 ?,,
73,이중전공,LT 이중전공하면 많이 힘드나요...그리구 커리큘럼은 본전공이랑 같은가요?,LT 이중전공 하 면 많이 힘들 나요 ... 그리구 커리큘럼 은 본 전공 이랑 같 은 가 요 ?,,
74,이중전공,1학년 이중전공 신청이 10월 31일부터 라고 들었는데 학과나 학교 홈페이지에 왜 아무런 공지가 없는건가요??지금 2학년 위로는 이중전공 변경 신청있던데...??ㅠㅡ,1 학년 이중전공 신청 이 10 월 31 일 부터 이 라고 듣 었 는데 학과 나 학교 홈페이지 에 왜 아무런 공지 가 없 는 거 이 ㄴ가요 ?? 지금 2 학년 위 로 는 이중전공 변경 신청 있 던데 ...?? ㅠㅡ,,
