,내용,댓글,댓글쓴이,대댓글여부,id
27,이중전공생인데 1학년 전공수업을 들으려고 했는데티오가 아예 없던데 1학년들 다 하고 신청 받는 건지아니면 증원신청을 따로 해서 들을 수 있는 건지 알고싶어요 ㅠㅠ 이중제한은 없었는데 어떻게수강신청을 해야하는 건지 모르겠어요,['증원신청. 교수님한테 메일보내야지..'],['익명'],['parent'],106548915
28,전과 신청이랑 이중 신청한과가 겹쳤고 둘다 됐고 전과 선택했는데 그럼 이중 신청은 신규신청인가요 아님 변경인가요,"['변경해야죠', '변경이에요']","['익명', '익명']","['parent', 'parent']",106454206
29,휴학생도 5월에 이중 변경할 수 있어?,"['ㅇㅇ', '오 ㄱㅅㄱㅅ']","['익명', '익명(글쓴이)']","['parent', 'child']",106368713
30,이번 학기에 3학년 되는데 이중신청기간을 놓쳐서 2학기때 국통 이중으로 신청하려고 합니다ㅜ 원래 부전으로 다른 전공 들었었는데 그럼 이중변경기간이 아니라 신청기간에 넣고 시험보는 것 맞나용? 5월에 이중신청이죠?제바아아알 답변 부탁드려용♥,['최초신청 이후엔 무조건 다 변경신청이에요. 변경기간에 신청하면 됨'],['익명'],['parent'],103562771
31,경영이중전공인 3학년입니다! 이번에 수강신청하고 나서 4학년 때 들을 과목을 찾아보니까 4학년 이중생 전용 수업은 없던데.. 그럼 경영이중생인 4학년은 수강신청을 어떻게 하나요?,['정정기간에 해야죠뭐..'],['익명'],['parent'],102157609
32,"전과햇고 작년에이중전공신청안했는데, 그럼이제 이중 언제신청하나요? 조진건가요",['5월에 변경신청하면 가능'],['익명'],['parent'],102112965
33,중언문 이중생인데 뭐 들어야 하는지 잘 이해가 가지 않는데 ㅜㅜ 알려주실분!!,,[],,101798118
34,이중전공 3학년때부터 들어도 될까요..?1학년 학점으론 원하는 이중전공에 도저히 지원할 수가 없을 거 같아서 그냥 이번에는아무것도 안 했는데.. 그냥 2학년때 자유선택으로 몇 과목 들어놓고3학년때 이중 다시 신청해도 괜찮을까요..? ㅠ찾아보니까 자유선택으로 들은 학점이 나중에 이중으로 변경할 때 인정이 안 되는 경우도 있다고 해서.. ㅠㅠ 어떻게 해야 할지 모르겠습니다 ㅠㅠㅠ,['자선으로 미리 들으세요'],['익명'],['parent'],101452788
35,이중 전공 과목 장바구니에 수강제한과목이라고 안담기는데 이중은 어떻게수강신청하나요?? 과사가 전화를 안받아요전체학년 수강때 하는거라고 들었는데 그때 하면 되나요?,['2020학번 전공강의인거 아닐까용 비고란 잘 보세용'],['익명'],['parent'],101439745
36,이중전공 떨어져서 그 과를 부전공으로 신청해서 됬는데 부전공 수업을 이번학기에 듣는게 나을까요? 전공만 듣는게 나을까요?? (5월에 가능하면 이중전공으로 변경 신청할 예정입니다.),['미리듣는게편함'],['익명'],['parent'],101432777
37,미리 듣는 거 되나요일단 타과거 듣고 이중변경하면 이중전공으로 인정되나요ㅠㅠ제발 알려주세요,,[],,101353068
38,중언문 이중전공 신청해서 되어있는 상탠데 중외통교차수강과목 듣고 5월달에 이중전공 중외통으로 변경하면 이중 학점으로 인정될까요??,,[],,101340410
39,항공사 취업 이중마통vs스통,['그냥 영어 좐나 잘하면 됨 끝'],['익명'],['parent'],101197757
40,하나만 여쭤봐도될까요?ㅜㅜ제가 이중전공도 안하고 부전공신청기간도 놓쳤는데요ㅠㅠ방송 영상 뉴미디어를 이중전공으로 하고싶은데이번 1학기때 전공을 듣고5월에 부전 신청을 해서 2학기말에 이중전공으로 신청넣어도 될까요??ㅠㅠㅠ,['네 대신 티오가 나야돼요'],['익명'],['parent'],101110524
41,"다음학기에 이중전공을 바꾸려고 하는데,이번학기에는 다음학기에 바꿀 이중전공 과목을 자유선택 학점으로 듣고 다음학기에 변경하면 그 자유선택으로 들어갔던 학점이 이중전공 학점으로 변경될 수 있나요..?(학교 수업 관련 게시판을 잠깐 중단해서 메일 넣어놓긴 했는데 연락이 없어서 전화해보려고는 합니다. 그렇지만 혹시 에타에 아시는 분 있을까 해서요!)","['삭제된 댓글입니다.', '오오 종정시 들어가보니까 그렇게 써있네요 ! 감사합니다 ㅎㅎ', 'ㅇㅇ변경됩니다', '감사합니다 !']","['(삭제)', '익명(글쓴이)', '익명', '익명(글쓴이)']","['parent', 'child', 'parent', 'child']",101106641
42,부전에서 이중으로 올리면 이중변경기회 한번 날라간건가요?,['ㅇㅇ'],['익명'],['parent'],100998554
43,이중전공 한 번 바꿀 수 있는 거죠..?,['넵'],['익명'],['parent'],100995060
44,이중 스통 vs 마통,"['ㅅㅌ', 'ㅁㅌ', 'ㅁㅌ', 'ㅁㅌ']","['익명', '익명', '익명', '익명']","['parent', 'parent', 'parent', 'parent']",100992997
45,부전공으로 들은 전공을 이중전공 신청 기간때 신청해서 합격하면 이중전공으로 바뀌나요 ??,"['ㅈㅅ?', '넵', '그럼 변경기간때 신청하는것두 가능한가요 ??', '이중전공 변경기간 말씀하시는건가요?', '네네 !', '변경기간에 부전에서 이중으로 올려야죠!']","['익명', '익명', '익명(글쓴이)', '익명', '익명(글쓴이)', '익명']","['parent', 'parent', 'child', 'child', 'child', 'child']",100953933
46,이중전공 되면 1학년 과목부터 들어야하나요?,"['ㅇㅇ', 'ㄹㅇ?', '1학년 과목에 전필잇으면 그것부터 듣는게 좋지']","['익명', '익명', '익명']","['parent', 'child', 'child']",100927879
47,지금 된 이중이 괜찮을지 어떨지모르겠어서 그런데 이중된 상태로 다른전공 부전공으로 듣다가 그거맘에들면 이중변경하고 아니면 부전취소하고 다시 걍 원래있던 이중전공하는거 가능한가요??,['다른전공을 부전공으로 듣는게아니라 자선으로 들어야함'],['익명'],['parent'],100910003
48,이중에서 이중으로 변경이 나을까요 아님 부전에서 이중으로 올리는 게 나을까요..?,['똑'],['익명'],['parent'],100860578
49,이중신청한 과로 전과가 되었는데 이런 경우는 5월에 이중신청을 기다리면 되나요?,['ㅇㅇ'],['익명'],['parent'],100838820
50,"혹시 국스레 이중하시는 분 계신가요??? 국스레는 이중전용 강의 같은게 없어서 어떤식으로 강의 듣는지, 어떤 방향으로 취업준비하는지 궁금해요!!!",,[],,100822482
51,이중전공 결과 나왔어요 ???,"['넴', '종정시 왜 안들어가질꺼요 ㅠㅠ?!']","['익명', '익명(글쓴이)']","['parent', 'child']",100818877
52,미컴 부전에서 이중으로 올릴려면 총평점 얼마정도 되야하나요?미컴이랑 경영중에 부전 해놓고 이중으로 올릴려고 하는데 뭐가 더 쉬울까요??,,[],,100807328
53,이중 떨어져서 지금은 부전 신청하고 다음 신청기간때 이중신청했는데 또 떨어지면 다시 이중 신청이 가능한가요?,"['ㅇㅇ떨어진건 변경에 해당 안됨', '아감사합니다!!']","['익명', '익명(글쓴이)']","['parent', 'child']",100797902
54,이중 떨어졌는데 부전공으로 신청했다가 그 과를 이중전공으로 변경할 수도 있나요?,"['넵', '부전공과 이중전공의 차이가 졸업장에 표시되는거 정도인가요?', '부전공 21학점 이중전공 42학점 이수하면 돼요. 이수학점수랑 졸업장표시여부, 전필이수여부 다릅니다', '아하 감사합니다 이중전공 변경은 2학년때든 3학년때든 다 가능한건가요?', '넵']","['익명', '익명(글쓴이)', '익명', '익명(글쓴이)', '익명']","['parent', 'child', 'child', 'child', 'child']",100795941
55,이중 떨어졌는데 부전 신청해놨다가 다음 신청기간때 이중 신청하면서 기다려도 되나요?,"['ㅇㄷ', 'ㅇㅇ']","['익명', '익명']","['parent', 'parent']",100795537
56,이중전공도 증원해달라면 받아주는데 있나요..,['그럴리가'],['익명'],['parent'],100791790
57,국통 이중 결과 나왔습니다,"['붙었다 ㅜㅜ', '떨어졌다 ㅠ']","['익명', '익명']","['parent', 'parent']",100786627
58,미컴 이중 결과 나왔습니다,"['삭제된 댓글입니다.', '넵ㅎㅎ']","['(삭제)', '익명(글쓴이)']","['parent', 'child']",100786404
59,정외 이중 결과 나왔습니당,,[],,100782087
60,이중전공으로 신청한 학과랑 전과한 학과랑 같은데 전과했으면 이중전공은 어떻게 바꾸는지 아시는 분 계신가요ㅠㅠ😭😭,"['다음학기 이중전공 변경신청하세요', '그럼 이번학기에는 이중전공 수업 못듣는 건가요?', '그쵸 이중전공이 본전공이 되어버렸으니 불가능.... 미리 들어두고 나중에 이중신청해서 학점인정받을수있어요', '?? 진짜요?? 이중 전에 미리 들어도 나중에 학점인정이 돼요...? 😮', '모르셨구나 수강제한만 없으면 가능해요', '오... 감사합니당(੭•̀ᴗ•̀)੭']","['익명', '익명(글쓴이)', '익명', '익명(글쓴이)', '익명', '익명(글쓴이)']","['parent', 'child', 'child', 'child', 'child', 'child']",100745543
61,"제가 전공은 독일어이고, 영문과를 이중전공하려 하고 이제 3학년입니다.1영문과에 ‘전공’이라고 써있는 수업들도 수강신청이 가능할까요2 그 수업들이 나중에 이중이 영문과가 확정이 되면 영문과 이중 학점으로 인정이 되나요?3 이중과 전공 1,2,4학년 수업도 신청이 가능한가요?",,[],,100718122
62,영통 이중전공 떳나요?,,[],,100713630
63,시간표에 1학년 과목하고 이중전공만 넣었는데 나만 그런 거임? 기본도 모르면서 2학년 거 들으면 ㅈ망할 것 같은데,"['삭제된 댓글입니다.', '중복학과인가요?', '삭제된 댓글입니다.', '아하 그것도 좋은 방법이네요']","['(삭제)', '익명(글쓴이)', '(삭제)', '익명(글쓴이)']","['parent', 'child', 'parent', 'child']",100666826
64,저는 글캠 통번역대에서 서울캠 아시아언어문화대로 전과한 19학번입니다.전과하기 전 학과에서 전공을 24학점 이수하여 전과한 후 24학점이 모두 자선으로 변경된 상태입니다.1. 자선학점을 교양학점으로 변경할 수 있다는 것을 수강편람에서 봐서 12학점을 교양으로 넘길 예정입니다. 2. 그리고 전과하기 전 학과의 언어를 서울캠에서 이중전공으로 하고 싶은데 이제 가능할지가 일단 궁금합니다.3. 만약 가능하다면 교양으로 12학점을 넘기고 남은 자선 12학점 중 6학점을 이중전공으로 넘기고 싶은데 이것도 가능할까요? 이게 가능할 거라고 생각한 이유는 전과하기 전 학과의 언어와 이중전공의 언어가 같기 때문입니다. 그리고 제가 받은 자선학점은 모두 한 언어에 대한 학점이고요.,"['삭제된 댓글입니다.', '그런데 전과하기 전에는 ♡♡어 통번역학과이고 이중전공하고자하는 학과는 ♡♡어학과인데 엄밀히 따지면 다른 학과잖아요', '캠퍼스도 다르고 과 이름도 달라서 될 것 같아서요', '중복학과임? 전적 학과를 이중하는건 불가능인데 언어가 같은거면 2는 가능함. 그리고 3은 당연히 안되고 수강편람에 다 나옴', '3은 왜 안될까요? 1은 되는데', ""언어가 같아도 다른과면 전공이 절대 될수업지 애초에 자선은 '교양'으로만 가능"", '네 감사합니다! 혹시 수강편람 어디쯤에 나와있는지 가르쳐주실 수 있나요?', '필수이수 그쯤에있음 자세히 설명은 안나와있고 자선을 교양으로 변경가능 이라고만', '그냥 이 한가지를 혼동하는것같은데.. 같은 언어를 배우더라도 서로 다른 과이기 때문에 전공점수와 서로 무관함', '삭제된 댓글입니다.', '안녕 ㅇㄴㄱ', '삭제된 댓글입니다.', 'ㅇㅇ', '자선을 교양으로 옮기려고하는데 혹시 몇학점까지 옮길수 있는지 아시나요ㅜ 수강편람에 몇학점까지 옮길 수 있는지는  안나와있어서요ㅜㅜ', '12학점이요', '이중전공 불가능함. 고로 자선>이중전공으로 옮기는것도 당연히 불가능.']","['(삭제)', '익명(글쓴이)', '익명(글쓴이)', '(알수없음)', '익명(글쓴이)', '(알수없음)', '익명(글쓴이)', '(알수없음)', '(알수없음)', '(삭제)', '익명(글쓴이)', '(삭제)', '익명(글쓴이)', '익명', '익명(글쓴이)', '익명']","['parent', 'child', 'child', 'parent', 'child', 'child', 'child', 'child', 'child', 'parent', 'child', 'parent', 'child', 'parent', 'child', 'parent']",100597421
65,이중 결과는 아직 안나온거 맞지?,['난 안나왔다ㅠ'],['익명'],['parent'],100562462
66,정외 이중전공 결과 안뜬거 맞지 아직 ?,['응... ㅠㅠ'],['익명'],['parent'],100417771
67,이중전공 1학기 마치고 신청할 수 있어요?,,[],,100327963
68,정외 이중 결과 나오신분..???,"['어디서 확인해요?', '종정시요!', '아직...ㅠㅠ', '나만 그런거아니지..ㅠㅠㅠ', '종정시 가서 어떤건 누르면 되는건지 아시나요 혹시..?', ""'이수중인 전공' 버튼 누르면 2번으로 추가되어 뜨는걸까요?"", '저도 잘모르겠어요ㅠ']","['익명', '익명(글쓴이)', '익명', '익명(글쓴이)', '익명', '익명', '익명(글쓴이)']","['parent', 'child', 'parent', 'child', 'parent', 'child', 'child']",100313272
69,이중 결과 발표 30일 밎나요?,,[],,100223623
70,이번에 3학년 복학인데 이중전공 부전공으로 내리는 기간 언제인가요..??,"['곧', '그리고자게가']","['익명', '익명']","['parent', 'parent']",100130016
71,이중전공 발표난 과 있나용...?,,[],,100073004
72,(이제 2학년 입니다)이중전공 일단 신청은 해뒀지만 벌써 바꾸고 싶은데정정기간까지 한학기? 두학기? 기다려야 되니까그 때 동안 신청해둔 이중전공에 대한 과목을 수강신청안하고 안들으면 되는거죠?,,[],,99923791
73,이중 면접 보통 몇 분 씩 보나요.?????,,[],,99819724
74,정외 이중 면접 뭐 물어보나요 ㅠ,,[],,99799219
75,이중 면접볼 때 어떤 옷 입고 가야할까요!? 슬랙스처럼 진짜 면접 복장으로 입고 가시나요??,"['삭제된 댓글입니다.', '혹시 어떤식으로 입으셨는지 알 수 있을까요?ㅠㅠㅠㅠ 감이 안 와서요', '감사해요ㅠㅠㅠㅠ 많이들 그렇게 입고 오셨었나요??', '알려주셔서 너무 감사해요ㅠㅠㅠㅠ 새해 복 많이 받으세요!!:)', '저는 이왕 볼거 캐주얼한것보다는 차려입은게 좋을 것 같아서 슬랙스에 블라우스 입었어요', '오 알려주셔서 감사드려요!! 저 옷 관련은 아닌데 경제 면접 보셨나요..?', '아니요 타과입니다 ㅠㅠ', '아 감사드려요!!ㅠㅠㅠㅠ', '면접 화이팅하세용!']","['(삭제)', '익명(글쓴이)', '익명(글쓴이)', '익명(글쓴이)', '(알수없음)', '익명(글쓴이)', '(알수없음)', '익명(글쓴이)', '(알수없음)']","['parent', 'child', 'child', 'child', 'parent', 'child', 'child', 'child', 'child']",99790725
76,이중전공 바꾸면 전에 듣던 이중전공 학점음 자선  된다는게 무슨 소리에요?,['ㅋㅋㅋㅋㅋㅋㅋㅋ'],['익명'],['parent'],99730978
77,정외 이중면접에서 시사문제도 물어보나요 어떻게 준비해야하죠,"['삭제된 댓글입니다.', '+ 북핵/ 미국 이란/난민 세트로 하면 완벽할듯', '그런 거 물어봐요??', '딱히 안물어보실 것 같긴한데 완벽히 대비하길 원한다면 뭐.....!']","['(삭제)', '익명', '익명', '익명']","['parent', 'child', 'child', 'child']",99713210
78,이중전공 변경 언제하시는지 아는분?,,[],,99653669
79,1학기에 이중 변경 신청하면 1학기 성적까지 포함인가요? 아님 작년 성적까지만 포함인가요??,,[],,99612977
80,경영 이중전공2학년 때 부전공으로 경영듣고 3학년 때 이중전공으로 신청하려구 하는데 이중전공 시험볼 때 도움되는 과목은 어떤게 있을까요??ㅎㅎ,"['책', '경원론']","['익명', '익명']","['parent', 'parent']",99611023
81,중언문 이중 합격 결과 나왔나요?,,[],,99319067
82,이중변경할때 재수강한 학점도 반영되나요..??,,[],,99309642
83,전과원서 유의사항에 복수의 학과에 이중 지원하면 불합격 처리된다고 적혀있는데 이게 무슨 뜻인가요? 이중지원한 학과에 지원하면 떨어진다는 뜻 아니죠?,"['이중전공 신청한 학과에 지원 가능할걸요...!?', '다수의 과에 전과 지원하면 안된다는거']","['익명', '익명']","['parent', 'parent']",99083866
84,혹시 lt 이중전공하시는 분 계신가요? 질문하고 싶은 게 있는데 있으시다면쪽지부탁드립니다ㅠㅠ,,[],,99008165
85,제가 이번에 경영 이중 전공 시험을 떨어졌는데 올해 11월에 군입대를 하거든요ㅠ 그러면 군대 다녀와서 2년 뒤에나 볼 수았나요? 그 사이에 티오가 다 차면 어떡하죠?,,[],,98963806
86,"궁금한 게 있는데요,국제학부 같은 경우는 이중전공도 원래 전공과 전필이 똑같은가요??그리고, 다 1,2학기 모두 국제학부는 학년이 1학년으로만 되어있던데 그 커리큘럼을 그대로 3,4학년때도 하는 건가요...? 🤔알려주세요~~!!ㅠ","['아 혹시 2,3,4학년은 국제학전공으로 카테고리가 바뀌는 건가요?', '넴']","['익명(글쓴이)', '익명']","['parent', 'parent']",98954681
