QUESTION,ANSWER,TAGSET,LEMMA
수고 많으십니다 다름이 아니라 제가 통대생인데 부전공에다가 교직이수를 하고 있어요 그렇다면 졸업 학점은 어떻게 되는 건가요1 전공70부전21교양32교직22=145따라서 5학점은 자유롭게 이수2 전공70부전21교양32자선27=150 이수 후 교직 22학점 추가 총 172학점 이수이 둘 중에 뭐가 맞는건가요 감사합니다,,['SM'],수고 다르 아니 제가 통대생 부전공 교직이수 그렇 졸업 학점 전공 70 21 교양 32 교직 22 145 학점 자유 전공 70 21 교양 32 자선 27 150 이수 교직 22 학점 추가 172 학점 감사
저는 현재 3학년 1학기 이수중인 18학번 학생입니다Flex 시험 관련해서 물어보려합니다flex 시험성적을 학종지 교양영어담당 교수에게 제출하면 실요외국어 교양선택 항목으로 2학점을 받을 수 있다고 들었는데 18학번인 저에게도 해당되는 내요인지 궁금합니다 해당될 경우 4월 19일에 시행되는 2020년 제1차 시험 듣기/읽기 시험을 치루면 되는 것인지도 여쭙고자 글 남깁니다,,['UK'],학년 학기 이수 18 학번 학생 시험 관련 시험 성적 종지 교양 영어 담당 교수 제출 실요 외국어 교양 선택 항목 학점 18 학번 해당 내요 해당 경우 19 시행 2020 시험 시험 치루 여쭙 남기
저는 4학년 2학기 이수중입니다 다음학기 9학기 예정입니다4학년은 12학점 미만도 들을 수 있다고 하던데 9학기 예정이 어도 12학점 밑으로 들을 수 있나요 지금은 수업 잡느라 12이상으로 등록 되어 있는데 12과목 드랍하고 싶어서요 ,,['UK'],학년 학기 이수 다음 학기 학기 예정 학년 12 학점 미만 학기 예정 12 학점 지금 수업 12 이상 등록 12 과목 드랍
옛날에 교직 신청에 선발되어서 교직 수업 6학점을 수강한 상태인데요현재는 교직이수를 포기한 상태인데 따로 이수를 포기하는 절차를 거쳐야 하나요또 그동안 들었던 수업들은 자선으로 넘어가나요 현재 종합시스템에는 6학점이 교직 취득학점으로 분류되어 있는 상태입니다,,['UK'],옛날 교직 신청 선발 교직 수업 학점 수강 상태 현재 교직이수 포기 상태 이수 포기 절차 거치 하나 수업 자선 넘어가 종합 시스템 학점 교직 취득 학점 분류 상태
청강은 학점으로 안들어가는 거 맞나요 그럼 만약 현재 최대 학점임에도 불구하고 청강 할 수 있는 거죠,,[],
수강편람을 읽었는데 모르는 부분이 있어서 질문드려요 통대 졸업학점이 150학점이고 전공 최소가 70학점인데 전공심화를 하면 전공 최소학점 이78학점 교양 최소학점이 32학점으로 이렇게 하면 총110학점 이잖아요 그럼 나머지 40학점은 전공이나 교양에서 채우면 되는 게 맞나요 그리고 이 40학점은 자선으로 들어가나요,,['MD'],수강편람 모르 부분 질문 드리 졸업 학점 150 학점 전공 최소 70 학점 전공심화 전공 최소 학점 78 학점 교양 최소 학점 32 학점 110 학점 나머지 40 학점 전공 교양 채우 맞나 40 학점 자선 들어가
혹시나 도움을 받을 수 있지 않을까해서 문의드려요 제가 이중전공 중외통으로 했다가 바로 경영부전으로 바꿨어요 혹시 여기서 경영이중으로 올리는 거 가능한가요,,['DM'],도움 드려요 제가 이중전공 중외통 경영 부전 바꾸 여기 경영 이중 올리 가능
항상 친절하신 답변 감사합니다제가 여쭤 볼 것은요 이번에 공지를 보니까 휴학 신청기간이 4월 8일까지라고 하는데 저는 이미 이번학기 등록금을 낸 상태입니다 그런데 이번학기에 제가 휴학을 해야 할 것 같아서 휴학 신청을 하려고 하는데 4월 8일까지는 휴학을 신청하면 제가 이번에 낸 등록금 전액이 나중에 제가 복학할 학기 등록금으로 옮겨지는 건가요 복학할때는 등록금을 낼 필요 없는 거 맞죠,,['UK'],친절 답변 감사 여쭈 이번 공지 휴학 신청 기간 이번 학기 등록금 상태 이번 학기 휴학 휴학 신청 휴학 신청 이번 등록금 전액 나중 제가 복학 학기 등록금 옮기 복학 등록금 필요
중도휴학기간은 언제까지 인가요또 중도휴학에는 특별한 사유가 있어야 하나요,,['UK'],중도 휴학 기간 언제 중도 휴학 특별 사유
이중전공 변경하기 전에 해당 전공 수업 들었는데 성적표에 자선으로 표시되더라고요 이중전공으로 학점 인정 가능한가요,,['DM'],이중전공 변경 해당 전공 수업 성적표 자선 표시 이중전공 학점 인정 가능
혹시 이미 씨쁠 받아버린 과목들은 성적에서 버리기 안되나요 만회 방법이 재수강 뿐인가요,,['UK'],씨쁠 버리 과목 성적 버리 만회 방법 재수강
다름이 아니라 재수강 체크해서 수강신청했는데 재수강으로 수강하고 싶지 않아서요 나중에 과목 연결만 안하면 재수강으로 안들어가나요,,['UK'],다르 아니 재수강 체크 수강 신청 재수강 수강 나중 과목 연결 재수강 들어가
14학번 부전공 질문입니다인문대전공 54 부전공 21 교양 26 이최소학점 이고총 134학점을 들어야 하는데그러면 33학점이 남습니다 이것을자선 교양으로 다듣는다면 졸업할때까지 교양을 59학점 듣게 되는 것인데 맞는건가요걱정이되어서요 교양이 너무 많다보니,,['SM'],14 학번 부전공 질문 인문 대전 54 부전공 21 교양 26 최소 학점 134 학점 33 학점 이것 자선 교양 졸업 교양 59 학점 걱정 교양
항상 수고하십니다다름이 아니라 제가 자비유학을 와서 오기전에 수강신청은 했습니다 휴학신청을 그제 한 상태인데 다시 한국으로 돌아갈지 고민하고 있습니다 아직 휴학신청 한 건 미결상태인데 지금이라도 취소하면 시간표는 남아 있는 건가요,,['UK'],수고 다르 아니 제가 자비 유학 와서 수강 신청 휴학 신청 그제 상태 한국 돌아가 고민 휴학 신청 미결 상태 지금 취소 시간표
교환학생에 관해 질문이 있어 올립니다 몇몇 글을 보았을 때 최소12학점을 취득해야 다음 학기 국장을 받을 수 있다고 하는데 그 이하이면아예 받을 수 없나요 국교팀에 전화했더니 한국장학재단에 물어보라해서 물어봤더니 학교에서 정한 최소 학점6만 맞추면 된다 하더라고요 답변 부탁드려요,,['UK'],교환 학생 관해 질문 올리 최소 12 학점 취득 다음 학기 국장 이하 국교 전화 한국장학재단 물어보 학교 정하 최소 학점 맞추 답변 부탁 드리
항상 감사합니다 저는 본전공 통대/부전공 경영이고 이중전공 경영을 올리고 싶은데 막학기까지 티오가 안날 수도 있을 것 같아서 후기 이중전공 생각하고 있습니다제가 궁금한 것은 8학기까지 제가 채워야하는 졸업학점이 뭐가 기준이 되는 것인지입니다제가 지금 부전공이니까 전공부전공을 이수할때의 졸업요건학점인지 전공이중전공을 이수할때의 졸업학점인지요또한 예를 들어 제가 후기 이중전공 하기 위해 8학기까지 전공이중전공학점인 150학점을 다 들었다치면 9학기때는 150학점을 초과해서 제가 안들은 경영 수업중에서 아무거나 하나 이상 들으면 경영이 이중전,,"['SM', 'DM']",감사 전공 통대 부전공 경영 이중전공 경영 올리 학기 티오 후기 이중전공 생각 학기 제가 채우 졸업 학점 기준 부전공 전공 부전공 이수 졸업 요건 학점 전공 이중전공 이수 졸업 학점 제가 후기 이중전공 위하 학기 전공 이중전공 학점 150 학점 학기 150 학점 초과 제가 경영 수업 하나 이상 경영 이중
궁금한 게 있어서 글을 올리게 됐습니다 졸업인증 외국어 가산점 제도에 관련해서 여쭤볼게 있습니다 정규 과정 비정규 과정 잉글리시존 잉글리시 클리닉 이 네가지를 전부 이수해야 가산점을 받을 수 있는 건가요 제가 이 프로그램중 정규 과정잉글리시 서바이벌1 2 만 이수 했는데 가산점을 받을 수 있나요 만약 가능하다면 정규과정 200점의 가산점이 어떤식으로 주어지는지도 궁금합니다 토익시험 인증 기준 점수가 낮아지는 건가요,,['UK'],올리 졸업 인증 외국어 가산점 제도 관련 여쭈 정규 과정 정규 과정 잉글리시 잉글리시 클리닉 가지 이수 가산점 제가 프로그램 정규 과정 잉글리시 서바이벌 이수 가산점 만약 가능 정규 과정 200 가산점 주어지 토익 시험 인증 기준 점수
혹시 더이상 신입생을 받지 않는 융합전공도 5명이 안되면 폐강되나요 정보기록학 전공,,['UM'],이상 신입 융합전공 폐강 정보 기록학 전공
저는 현재 막학기를 다니고 있는 4학년입니다막학기지만 남은 학점은 22학점이라 어떻게든 계절 아니면 9학기를 들어야 하는 것으로 알고 있었는데최근 동기 중 하나가 막학기생은 별도로 추가 문의를 하면 22학점을 수강할 수 있게 해준다는 얘기를 어디서 들었다고 말해줘 정말인지 여쭤보려고 합니다개강하셔서 바쁘실걸로 알지만 염치불고하고 한번 물어봅니다,,['UK'],학기 다니 학년 학기 남은 학점 22 학점 어떻 계절 아니 학기 최근 동기 하나 학기 별도 추가 문의 22 학점 수강 얘기 어디 여쭈 개강 바쁘 염치 한번
에타 간절한 마음으로 문의드려요 졸업논문을 쓰기 위해 수강해야 하는 수업을 3-2학기에 듣고 4-1학기에 졸논 제출하면서 심사받아도 되나요다른분들이 졸논수업은 4-1학기에 졸논 제출 및 심사는 4-2학기에 해야 한다고 들어서요아시는 분들 중에 알려주신다면 정말 고맙겠습니다,,['UK'],마음 문의 드리 졸업 논문 위하 수강 수업 학기 학기 제출 심사 졸논 수업 학기 제출 심사 학기 알리 고맙
아세요 제가 새내기인데 대학외국어 그 등급나눠서듣는 수업있잖습니까 그거 놓쳤어요 그거 1학년 1학기때 들어야 하는 교필 아닌가요 자리도 적고 그거 놓치면 대학외국어 아무거나 들어야 하는 건가요 안그래도 진리라서 걱정인데 강의도 못듣고 2학년때 또 들을수 있는 건가요,,['UK'],새내기 대학 외국어 등급 나누 수업 그거 놓치 그거 학년 학기 아니 자리 그거 놓치 대학 외국어 아무거 진리 걱정 강의 학년
제가 중외통 전필과목인 기초중국어1을 재수강하려고 하는데요 기존에는 4학점짜리였던 수업인데 이번에는 6학점으로 바뀌었더라구요 재수강하게 되면 2학점이 추가로 인정되는 건지가 궁금합니다,,['UK'],제가 과목 기초 중국어 수강 기존 학점 짜리 수업 이번 학점 바뀌 재수강 학점 추가 인정
제가 2019-2 휴학한 상태로겨울 계절을 들었는데요종정시에서 성적이 확인이 안 돼서요 성적 뜬 것까지는 확인 했었는데지금 확인할 수 있는 방법은 없나요감사합니다,,['UK'],제가 2019 휴학 상태 겨울 계절 종정 성적 확인 성적 확인 확인 방법 감사
제가 1학년때 신입생세미나 과목을 페일 해서 이번에 다시 듣는데 재수강연결기간에 재수강으로 연결해야 할까요감사합니다,,['UK'],제가 학년 신입생 세미나 과목 페이 이번 재수강 연결 기간 재수강 연결 감사
이번에 영어대교류로 들으려고비고란에 교류라고 써있는 과목을 수강신청했는데왜 구분에 자선으로 들어가는지 모르겠어요전 영어대가 1전공인데 전에 했을 때는 교류과목도 1전공으로 표시되었는데 왜 구분에 자선이라고 뜨는걸까요비고란에 분명히 영어대교류과목이라고 쓰요있는데 들으면 인정이 안되나요,,['UK'],이번 영어대교류 들으려고비고란 교류 과목 수강 신청 구분 자선 들어가 모르 영어 전공 교류 과목 전공 표시 구분 자선 뜨는걸까요비고란 영어 교류 과목 쓰요 인정
하십니까 항상 수고 많으십니다다름이 아니라 제가 불가피하게 전공 학점을 54를 초과해 55학점을 듣게 되었습니다 제가 부전공 코스를 밟고 있고 현재 졸업까지 남은 자선학점이 13학점인데 만약 전공 학점 1학점을 초과수강하게 된다면 남은 자선학점이 12학점이 되는지 궁금하요 여쭤봅니다,,['SM'],수고 다르 아니 전공 학점 54 초과 55 학점 제가 부전공 코스 졸업 남은 자선 학점 13 학점 만약 전공 학점 학점 초과 수강 남은 자선 학점 12 학점 여쭈
대학외국어가 교양으로 인정되나요예를들어 제가 평화반인데영어도 듣고진리반이 듣는 교양중국어를 추가로 들엇을 경우에요,,['UK'],대학 외국어 교양 인정 제가 평화 영어 진리 교양 중국어 추가 들엇 경우
이중전공 변경을 신청하면 기존에 받은 이중전공 학점은 어떻게 되는 건가요 아니면 기존 이중전공 학점은 사라지고 42학점을 새로운 이중전공으로 다시 받아야 하는 건가요,,['DM'],이중전공 변경 신청 기존 이중전공 학점 기존 이중전공 학점 사라지 42 학점 새롭 이중전공
제가 등록기간에 등록을 못해서 추가등록기간에 하려고 하는데요 국장1과 면학장학금을 다 합쳐서 등록금 0인데도 추가등록을 해요하나요 어떻게 하면 되나요,,['UK'],제가 등록 기간 등록 추가 등록 기간 국장 면학 장학금 합치 등록금 추가 등록 하나 어떻
타대학 교류에 대해 알고 싶어서 글 남겨요1 어느 학교랑 교류가 가능한지는 어떻게 알 수 있나요2 전공과 관련 없는 과목을 들으면 그냥 자선으로 처리되나요3 수강신청이나 이런 건 따로 해야 하는 건가요4 학교에 따로 신청하는 절차나 방식을 알고 싶습니다5 이수 가능학점 이나 학기에도 제한이 있나요6 타대학 전공 교류에 관해 정보를 어디서 얻을 수 있나요,,['UK'],대학 교류 대하 남기 학교 교류 가능 어떻 전공 관련 과목 자선 처리 수강 신청 학교 신청 절차 방식 이수 가능 학점 학기 제한 대학 전공 교류 관해 정보 어디
부전공 변경 관련 문의입니다제가 작년에 부전공a를 신청했다가 이번에 부전공b로 바꿨습니다 근데 생각보다 너무 안맞아서 다시 a로 바꾸고 싶은 마음이 굴뚝같은데요 부전공 변경신청을 두 번할 수 있나요,,['SM'],부전공 변경 관련 문의 작년 부전공 신청 이번 부전공 바꾸 생각 바꾸 마음 굴뚝 부전공 변경 신청
에타 재입학관련 질문입니다휴학을 다 쓰고 초과되어 재입학을 하게 되면휴학을 또 쓸 수있는 기회가 주어지나요 아니면 박탈되나요,,['UK'],입학 관련 질문 휴학 초과 입학 휴학 기회 주어지 박탈
비슷한 질문이 많아서 번거로우실텐데 감사합니다혹시 체육 카테고리에서 c받았던 과목을 과학과 기술 카테고리에 있는 과목으로 재수강이 가능할까요,,['UK'],질문 번거롭 감사 체육 카테고리 과목 과학 기술 카테고리 과목 재수강 가능
제가 소수어과 전공수업을 수강하고 있는데 현재 수강 인원이 5-6명입니다 혹시 폐강인원&기준에 대해서 알려주실 수 있나요 수강편람에서도 못찾겠더라구요그리고 현재 제가 3-2학기 재학 중인데 이번학기에 졸업논문 수업을 수강하려고 합니다 대체로 4-1학기에 졸업논문 수업을 듣고 1년동안 작성하던데 3학년때 수업을 듣고 작성하요 졸업전에 졸논 심사를 통과해도 상관없나요 어떤분은 4-2학기에 맞춰서 졸논심사를 받아야 한다고 말씀하시더라구요,,['UK'],제가 소수어 전공 수업 수강 수강 인원 폐강 인원 기준 대하 알리 수강편람 제가 학기 재학 이번 학기 졸업 논문 수업 수강 학기 졸업 논문 수업 동안 작성 학년 수업 작성 졸업 심사 통과 상관없 학기 맞추 졸논심사 말씀
랑상 수고 많으십니다71 다녀오는 학기는 정규학기 내 인것으로 알고 있는데 해당 학기에 외대에는 등록금을 안내고 외국 소재 대학 등록금은 내야하는 상황이면 햐당 학기에 국가장학금 수혜는 어떻게 되나요 71 다녀오고 9학기 졸업을 하게 되면 71 다녀오는 학기랑 9번째 학기 둘 모두 국장 수혜가 불가능한걸까요,,['UK'],수고 71 다녀오 학기 정규 학기 해당 학기 외대 등록금 외국 소재 대학 등록금 상황 학기 국가 장학금 수혜 어떻 71 다녀오 학기 졸업 71 다녀오 학기 학기 국장 수혜 가능
교환학생과 관련해 드릴 질문이 있습니다혹시 아너스프로그램이나 71제도로 학점을 인정받으면 패스엔페일로 학점이 계산되는 건가요 아니면 따로 학점을 계산하는 방식이 있나요,,['UK'],교환 학생 관련 드리 질문 아너스 프로그램 71 제도 학점 인정받 패스엔페일 학점 계산 학점 계산 방식
9학기 재학 중이고 이번 1학기를 다니면 134학점을 다 채우는데 여름 계절로 전공 과목 재수강을 하거나 추가로 수업을 들을 수 있을까요 계절은 7학기 128학점 이상 이수자에게만 제한이 있고 8학기은 자유롭게 들어도 되는 건가요,,['UK'],학기 재학 이번 학기 다니 134 학점 채우 여름 계절 전공 과목 수강 추가 수업 계절 학기 128 학점 이상 이수 제한 학기 자유
동일과목 수강에 대해 여쭤보고 싶습니다 본전공 전필과 이중전공 전필이 겹쳐서 경원론을 중복수강 해야 하는 상황인데요 혹시 한 학기에 본전공에서 재수강 이중전공에서 초수강으로 동시수강이 가능한가요항상 고생이 많으십니다 감사합니다,,['DM'],동일 과목 수강 대하 여쭈 전공 이중전공 겹치 경원 중복 수강 상황 학기 전공 재수강 이중전공 초수강 동시 수강 가능 고생 감사
다름이 아니라 제가 저번 학기에 세계주요문화와통번역의역할 사이버 강의3학점에서 논패스를 받았는데 재수강 연결을 해야 하나요,,['UK'],다르 아니 제가 저번 학기 세계 주요 문화 번역 역할 사이버 강의 학점 패스 재수강 연결
타 대학 학점 교류 관련해서 몇 가지 질문드리고 싶습니다1 최대 6학점 이내 수강신청이 가능한 타교와 우리 학교에 동시에 수강신청한다면 이번 학기 최대 수강 가능 학점 총 몇 학점인가요2 타과 강의를 신청해서 서류 신청 당시 미네르바 대학장님 도장을 받고 교양 카테고리로 신청을 했는데 이를 1전공 학과장님 도장을 받고 자선 카테고리로 바꿀 수 있을까요항상 친절하게 답변해 주셔서 감사합니다 건강 잘 챙기시고 좋은 하루 보내세요,,['UK'],대학 학점 교류 관련 가지 질문 드리 최대 학점 이내 수강 신청 가능 타교 우리 학교 동시 수강 신청 이번 학기 최대 수강 가능 학점 학점 강의 신청 서류 신청 당시 미네르바 대학 장님 도장 교양 카테고리 신청 전공 학과 장님 도장 자선 카테고리 바꾸 친절 답변 감사 건강 챙기 하루 보내
답변해주시느라 고생많으세요다름이 아니라 재수강 관련 문의를 드립니다 전공어1학기 수업이 3학점으로 작년 1학기에 열렸는데 이번 학기에는 3학점에서 2학점 수업으로 바뀌어 열렸습니다 재수강은 저번에 들은 수업의 학점을 삭제하고 새롭게 들은 학점으로 인정된다고 들었는데 이 경우에도 작년에 들은 3학점이 삭제되고 올해 듣는 2학점으로 인정되는 것인지 문의드립니다,,['UK'],답변 고생 다르 아니 재수강 관련 문의 드리 전공 학기 수업 학점 작년 학기 열리 이번 학기 학점 학점 수업 바뀌 열리 재수강 저번 수업 학점 삭제 새롭 학점 인정 경우 작년 학점 삭제 올해 학점 인정 문의 드리
