,내용,분류,명사토큰
10,안녕하세요 조교님!제가 과 내 장학금을 신청하려 하는데해당 장학금이 소득 관련으로 나오는 장학금입니다.관련 서류 등은 교수님 개인 메일로 보내는 형식인데혹시 교수님 외에 조교님들께서 제 장학 내역이나 저희집 소득 서류를 확인하시게 될까요...?ㅠㅜ,3,조교 제 과 내 장학금 신청 해당 장학금 소득 관련 장학금 관련 서류 등 교수 개인 메일 형식 혹시 교수 외 조교 제 장학 역 집 소득 서류 확인 요
11,안녕하세요 제가 지금 부전으로 경영이 되어 있는데이번 5월 변경신청기간에 이중으로 국통을 하려합니다. 그런데 만약에 이중 변경에서 떨어지면 담학기에 그대로 부전 경영이 되는건가요?? 부전으로라도 다시 변경할 수 있는 기회가 없나요?,5,제 지금 부전 경영 이번 변경 신청 기간 이중 국통 만약 이중 변경 담 학기 그대로 부전 경영 가요 부전 다시 변경 수 기회
12,안녕하세요 조교님제가 저번학기 세계주요문화와통번역의역할(세문통) 과목 f를 받았는데요. 이번 학기 수강신청 때 같은 과목에 재수강 체크하고 신청을 했습니다. 재수강 연결을 하려고 보니 아예 뜨지가 않는데 이럴 경우 초수강으로 바뀌게 되나요? 아니면 재수강 학점으로 써버리게 되는 건가요?,6,조교 제 저번 학기 세계 문화 통 번역 역할 통 과목 를 이번 학기 수강신청 때 과목 재수강 체크 신청 재수강 연결 아예 경우 초 수강 재수강 학점 건가
13,안녕하세요 조교님이중 변경을 5월 달에 하면 2학기부터 변경된 이중으로 강의를 듣는건가요? 아니면 여름 계절학기 부터 들을 수 있나요? 그리고 일단 1학기는 기존 부전공으로 강의를 듣는거 맞나요?,1,조교 이중 변경 달 학기 변경 이중 강의 가요 여름 계절 학기 부터 수 일단 학기 기존 부 전공 강의
14,안녕하세요 조교님!재수강 연결방밥 대로 종합정보시스템-수업수강관리-재수강과목선택메뉴를 들어갔는데안내사항 및 이전성적 연결현황에 ‘동일교과로 자동연결되었습다 ‘ 라고 나와있습니다. 그럼 학사공지에 나와있는대로 재수강할 이전 성적을 선택해 재수강연결을 할 필요없이 아무것도 안해도 된다는 건가요? 감사합니다.!,6,조교 재수강 결방 밥 대로 종합정보시스템 수업 수강 관리 재수강 과목 선택 메뉴 안내 사항 및 이전 성적 연결 현황 교과 자동 연결 습 학사 공지 재수 이전 성적 선택 재수강 연결 것 안해 건가
15,안녕하세요 조교님!제가 맨 처음에 이중전공을 gbt로 신청했다가이중전공 경영으로 변경하려고 시도했는데자체시험에 2번이나 떨어져 변경을 실패했습니다그래서 지난 겨울방학(2019년)에 부전공으로 경영을 선택을 하고 2020년도 1학기 이중전공 변경기간에 경영으로 신청하려고 합니다한번 종합정보시스템을 들어갔는데 사진과 같은 내용이 있더라고요신경쓰지 않고 변경기간에 경영으로 신청하면 되는건가요?,5,조교 제 맨 처음 이중 전공 로 신청 이중 전공 경영 변경 시도 자체 시험 번 변경 지난 겨울방학 부 전공 경영 선택 학기 이중 전공 변경 기간 경영 신청 한번 종합정보시스템 사진 내용 신경 변경 기간 경영 신청 가요
16,이중전공을 바꾸고싶은데 혹시 바꾸게 된다면 그전에 받은 학점은 이어가는 건가요? 아니면 소멸되는 건가요?,2,이중 전공 혹시 전 학점 어가 건가 소멸 건가
17,조교님 혹시 등록휴학 후 자퇴할 경우 이번학기 등록금 환불이 가능한가요?,9,조교 혹시 등록 휴학 후 자퇴 경우 이번 학기 등록금 환불
18,졸업유예 기간동안 학점 취득이 가능한가요?,7,졸업 유예 기간 동안 학점 취득
19,조교님 제가 인간과 사회 2학점 짜리 과목 씨쁠을 맞았었는데 이걸 언어와 문학 3학점 짜리 페논패 과목으로 재수강 연결이 가능하나요??,4,조교 제 인간 사회 학점 과목 씨쁠 걸 언어 문학 학점 페논패 과목 재수강 연결
20,"안녕하세요 조교님.2019-2학기에 8학기 까지 마치고, 현재 사정상 2학점이 남은 상태로 휴학중입니다. 전공과 이중전공 학점은 다 채운 상황이나, 총 취득학점이 132학점이라 2학점이 모자랍니다. 추가학기를 들어야 하는 상황인데요, 이 경우 2020 여름 계절학기 때 2학점 수강 후 수료가 가능한지 궁금합니다. 답변 부탁드립니다-!",8,조교 학기 학기 마치 현재 정상 학점 상태 휴학 전공 이중 전공 학점 채운 상황 총 취득 학점 학점 학점 추가 학기 상황 요 이 경우 여름 계절 학기 때 학점 수강 후 수료 답변
21,교양영어 재수강 하는 학생은 온라인 과제 하려면 전에 썼던 책이 있는 코드로 할 수 있는건가요? 아니면 새 책으로 해야하나요?,6,교양 영어 재수강 학생 온라인 과제 전 책 코드 수 가요 새 책
22,조교님안녕하세요.동일년도 내에서 학점이월이 가능한 것에 대하여 질문드립니다.1. 봄학기에 휴학을 하고 가을학기에 복학하면 학점은 최대 20일 뿐인가요..? 22이렇게는 못듣는지..ㅠㅠ2. 봄학기에 교환학생을 가서 17학점을 이수받으면 가을학기에 외대에서 23학점을 들을 수 있나요?,1,조교 동일 년도 내 학점 이월 것 대하 질문 봄 학기 휴학 가을 학기 복학 학점 최대 뿐 봄 학기 교환학생 학점 이수 가을 학기 외대 학점 수
23,안녕하세요 만약에 이중a->이중b로 변경하고 다시 이중b->부전공b로 내리는 것도 가능한가요?,2,만약 이중 이중 로 변경 다시 이중 부 전공 로 것
24,혹시 미리 복학신청을 할 수 있는지 궁금합니다. 공무원 임용유예시에 재학증명서가 필요합니다. 허나 임용유예 시기가 복학신청을 하는 시기 보다 빨라서 휴학생인 신분이 됩니다. 그래서 혹시 미리 복학신청을 해서 재학증명서를 뽑을 수 있는지 궁금합니다,5,혹시 미리 복학 신청 수 공무원 임용 유 예시 재학 증명서 임용 유예 시기 복학 신청 시기 빨 휴학생 신분 혹시 미리 복학 신청 재학 증명서 수
25,1학년 자퇴후 재입학 가능한지요? 일학기를 끝내고 가능한지 궁금합니다,1,학년 자퇴 후 재 입학 학기
26,안녕하세요 조교님교환학생제도에 대해서 궁금증이 생겨서 학교 홈페이지를 둘러보다가 궁금한 점이 생겼는데요. 국제교류팀 홈페이지에서 협정현황을 보면 조지타운 대학교와의 협정이 체결된걸로 나옵니다. 하지만 막상 국제교류프로그램의 교환대상대학교에 들어가보면 조지타운 대학교는 빠져있는데요. 조지타운 대학교와는 어떤 협정이 되어있는건지 어디서 알수가 있을까요?,0,조교 교환학생 제도 대해 궁금증 학교 홈페이지 점 국제 교류 팀 홈페이지 협정 현황 조지타운 대학교 협정 체결 걸 막상 국제 교류 프로그램 교환 대상 대학교 조지타운 대학교 조지타운 대학교 협정
27,안녕하세요 조교님 수강편람을 읽다가 조금 헷갈리는 부분이 있어서 문의드립니다17학번 기준 졸업 필수 교양에 있어서 자유선택교양 부분에 대해서 질문 드리고 싶습니다기초교양과 핵심교양을 다 이수하고 남은 12학점을 교양영역에서 자유롭게 이수하는것이라고 되어있는데한국외대 앱 성적조회상에서 교양영역 35라고 표시되어있는것은 제가 교양영역에서 졸업 요건을 충족했다고 보아도 되는것인가요??,0,조교 수강 편람 조금 부분 문의 학번 기준 졸업 필수 교양 자유 선택 교양 부분 대해 질문 초교 핵심 교양 이수 학점 교양 영역 이수 국외 앱 성적조회 교양 영역 표시 제 교양 영역 졸업 요건 충족 보아
28,안녕하세요 조교님.. 제가 막학긴데 훕스 커리어 수강하는 걸 깜빡했는데요.. 계절학기로 듣는 게 가능할까요? 마지막 학점은 계절학기로 못채운다는 말을 어디서 들어서 심란하네요 ㅠㅠ,1,조교 제 막학 훕스 커리어 수강 걸 깜빡 계절 학기 게 요 마지막 학점 계절 학기 말
29,안녕하세요 조교님 :)건강 꼭 잘 챙기시구 기분 좋은 날들 많으시길 바랍니다!다른 게 아니라 제가국제학에서 국통으로 부전공을 변경했습니다 :)이전에 들었던 국제학의 principles of Economics(1)을 재수강 하려는데 국통 principles of Economics(1)으로 연결할 수 있을까요..??전화를 돌려봐도 제대로 설명해주는 곳이 없어서 질문 드립니다!언제나 감사드립니다 :),0,조교 건강 꼭 기분 날 다른 게 제 국제 학 국통 부 전공 변경 이전 국제 학 재수강 국통 수 전화 제대로 설명 곳 질문 감사
30,"에타조교님! 코로나 항상 조심하세용.수강편람을 보면 7-8학기까지 졸업 조건 학점 다 채워야 후기 이중을 신청 할 수 있다고 들었습니다. 신청 기간이 4월달이라고 되어있던데 그럼 제가 지금 18학번 이고  이제 3학년을 시작하면, 3학년-5,6학기/ 4학년 -7,8학기 니까 4학년내에 조건을 만족하고 5-1학기에 신청 하면 되나요...? 그럼 5-1 봄에 시작하는게 맞는건가요?",1,에타 조교 코로나 항상 수강 편람 학기 졸업 조건 학점 후기 이중 신청 수 신청 기간 제 지금 학번 이제 학년 시작 학년 학기 학년 학기 학년 내 조건 학기 신청 봄 시작 가요
31,총 재수강 학점도 제한이 있나요? 한 학기동안 듣는거 말구요.,8,총 재수강 학점 제한 학기 동안
32,안녕하세요 조교님! 이번에 칠쁠일을 우선선발로 지원했는데 코로나 때문에 우리나라에서 선발을 완료하여도 파견 취소가 될 수 있다고 들었습니다. 이 경우 파견 취소가 되어서 2020-2에 못가고 2021-1에 칠쁠일 파견 재 신청을 한다면 우선선발로 지원할 수 있나요? 우선선발로 한번 뽑혔었다고 못가면 우선선발이 증발하나 궁금합니다ㅜㅜ,0,조교 이번 칠쁠일 우선 선발 지원 코로나 때문 우리나라 선발 완료 파견 취소 수 이 경우 파견 취소 칠쁠일 파견 재 신청 우선 선발 지원 수 우선 선발 한번 우선 선발 증발 하나
33,항상 고생 많으십니다ㅜ제가 이번학기에 복학신청을 했다가 다시 취소하려고 보니 복학신청후 취소는 학종지 방문신청만 된다네요ㅠㅠ그러면 혹시 수강변경 기간때 신청한 과목을 모두 삭제하고 버티면 어떻게 되는지 아시나요? 감사합니다ㅠ,5,항상 고생 제 이번 학기 복학 신청 다시 취소 복학 신청 후 취소 학 종지 방문 신청 혹시 수강 변경 기간 때 신청 과목 모두 삭제
34,조교님 안녕하세요 혹시 페논페 과목 페일받을시에 f가 기록에 남나요? 나중에 성적증명서 뽑았을때요!! 이수학점에 포함안된다는건 알고있습니다!,4,조교 혹시 페논페 과목 페일 기록 나중 성적 증명서 때 학점 포함
35,조교님 안녕하세요 고생이 많으십니다ㅠㅠ다름아니라 영역별 취득학점을 보니 1학년때 들었던 전공과목이 자선학점 영역에 포함된 걸 발견했습니다. 이 자선학점을 전공학점으로 수정하려면 어디에문의하면 될까요??,8,조교 고생 영역 별 취득 학점 학년 때 과목 자선 학점 영역 포함 걸 발견 이 자선 학점 학점 수정 어디 문의 요
36,안녕하세요 조교님 고생많으십니다. 이번 8학기가 막학기이고 20학점 듣는 재학생인데 이번학기에 좋은 성적을 얻어도 장학금을 받을 수 있나요?,1,조교 고생 이번 학기 막 학기 학점 재학생 이번 학기 성적 장학금 수
37,"조교님 안녕하세요한 학기 최대 수강신청 가능한 학점이 20점으로 알고 있는데,이 중 재수강하는 과목도 포함인가요?재수강하는 과목은 이미 들었던 과목이라 당해 학기 학점에는 카운트가 되지 않는다는 말을 들어서요.",4,조교 요한 학기 최대 수강신청 학점 점 알 이 중 재수강 과목 포함 재수강 과목 과목 학기 학점 카운트 말
38,조교님 안녕하세요 수고 많으십니다 :)다름이 아니라 제가 통대생인데 부전공에다가 교직이수를 하고 있어요! 그렇다면 졸업 학점은 어떻게 되는건가요??1. 전공70+부전21+교양32+교직22=145따라서 5학점은 자유롭게 이수2. 전공70+부전+21+교양32+자선27=150 이수 후 교직 22학점 추가. 총 172학점 이수이 둘 중에 뭐가 맞는건가요?ㅠㅠ 감사합니다,8,조교 수고 제 통 생 부 전공 교직이수 졸업 학점 가요 전공 부전 교양 교직 따라서 학점 이수 전공 부전 교양 자선 이수 후 교직 학점 추가 총 학점 이수 둘 중 뭐 가요
39,"조교님 안녕하세요!저는 현재 3학년 1학기 이수중인 18학번 학생입니다.Flex 시험 관련해서 물어보려합니다.flex 시험성적을 학종지 교양영어담당 교수에게 제출하면 실용외국어 교양선택 항목으로 2학점을 받을 수 있다고 들었는데, 18학번인 저에게도 해당되는 내용인지 궁금합니다. 해당될 경우, 4월 19일에 시행되는 2020년 제1차 시험 듣기/읽기 시험을 치루면 되는것인지도 여쭙고자 글 남깁니다!",0,조교 저 현재 학년 학기 수중 학번 학생 시험 관련 시험 성적 학 종지 교양 영어 담당 교수 제출 실용 외국어 교양 선택 항목 학점 수 학번 저 해당 내용 해당 경우 시행 제 차 시험 듣기 시험 치루 글
40,조교님 안녕하세요! 저는 4학년 2학기 이수중입니다. (다음학기 9학기 예정입니다)4학년은 12학점 미만도 들을 수 있다고 하던데 9학기 예정이어도 12학점 밑으로 들을 수 있나요? 지금은 수업 잡느라 12이상으로 등록 되어있는데 1~2과목 드랍하고 싶어서요... !,1,조교 저 학년 학기 수중 다음 학기 학기 예정 학년 학점 미만 수 학기 예정 이어도 학점 밑 수 지금 수업 이상 등록 과목 드랍
41,조교님 안녕하세요!옛날에 교직 신청에 선발되어서 교직 수업 6학점을 수강한 상태인데요현재는 교직이수를 포기한 상태인데 따로 이수를 포기하는 절차를 거쳐야 하나요?또 그동안 들었던 수업들은 자선으로 넘어가나요? (현재 종합시스템에는 6학점이 교직 취득학점으로 분류되어 있는 상태입니다.),8,조교 옛날 교직 신청 선발 교직 수업 학점 수강 상태 현재 교직이수 포기 상태 이수 포기 절차 하나요 또 그동안 수업 자선 현재 종합 시스템 학점 교직 취득 학점 분류 상태
42,조교님 안녕하세요청강은 학점으로 안들어가는거 맞나요? 그럼 만약 현재 최대 학점임에도 불구하고 청강 할 수 있는거죠?!,8,조교 청강 학점 만약 현재 최대 학점 임 불구 청강 수
43,"조교님 수강편람을 읽었는데 모르는 부분이 있어서 질문드려요. 통대 졸업학점이 150학점이고 전공 최소가 70학점인데 전공심화를 하면 전공 최소학점이78학점, 교양 최소학점이 32학점으로 이렇게 하면 총110학점이잖아요 그럼 나머지 40학점은 전공이나 교양에서 채우면 되는게 맞나요? 그리고 이 40학점은 자선으로 들어가나요?",8,조교 수강 편람 부분 질문 통 졸업 학점 학점 전공 최소 학점 심화 전공 최소 학점 학점 교양 최소 학점 학점 총 학점 나머지 학점 전공 교양 이 학점 자선
44,조교님 안녕하세요!혹시나 도움을 받을 수 있지 않을까해서 문의드려요.제가 이중신청을 중외통으로 했다가 바로 경영부전으로 바꿨어요! 혹시 여기서 경영이중으로 올리는거 가능한가요?,5,조교 혹시 도움 수 문의 제 이중 신청 중 외통 바로 부전 혹시 여기 이중
45,조교님 안녕하세요! 항상 친절하신 답변 감사합니다ㅠ제가 여쭤 볼 것은요 이번에 공지를 보니까 휴학 신청기간이 4월 8일까지라고 하는데 저는 이미 이번학기 등록금을 낸 상태입니다 그런데 이번학기에 제가 휴학을 해야할 것 같아서 휴학 신청을 하려고 하는데 4월 8일까지는 휴학을 신청하면 제가 이번에 낸 등록금 전액이 나중에 제가 복학할 학기 등록금으로 옮겨지는건가요? 복학할때는 등록금을 낼 필요 없는거 맞죠?,9,조교 항상 답변 제 볼 것 요 이번 공지 보 휴학 신청 기간 저 이번 학기 등록금 상태 이번 학기 제 휴학 것 휴학 신청 휴학 신청 제 이번 등록금 전액 나중 제 복학 학기 등록금 건가 복학 때 등록금 낼 필요
46,조교님 중도휴학기간은 언제까지인가요?또 중도휴학에는 특별한 사유가 있어야하나요??,9,조교 중도 휴학 기간 언제 또 중도 휴학 사유
47,이중전공 변경하기 전에 해당 전공 수업 들었는데 성적표에 자선으로 표시되더라고요. 이중전공으로 학점 인정 가능한가요?,2,이중 전공 변경 전 해당 전공 수업 성적표 자선 표시 이중 전공 학점 인정
48,혹시 이미 씨쁠 받아버린 과목들은 성적에서 버리기 안되나요..? 만회 방법이 재수강 뿐인가요ㅠ,6,혹시 씨쁠 과목 성적 만회 방법 재수강 뿐
49,조교님 안녕하세요:)다름이 아니라 재수강 체크해서 수강신청했는데 재수강으로 수강하고 싶지 않아서요.. 나중에 과목 연결만 안하면 재수강으로 안들어가나요??,6,조교 재수강 체크 수강신청 재수강 수강 나중 과목 연결 재수강
50,안녕하세요 14학번 부전공 질문입니다인문대전공 54 부전공 21 교양 26. 이최소학점이고총 134학점을 들어야하는데그러면 33학점이 남습니다. 이것을(자선(?)) 교양으로 다듣는다면. 졸업할때까지 교양을. 59학점 듣게 되는것인데 맞는건가요?걱정이되어서요 교양이 너무 많다보니ㅠ,8,학번 부 전공 질문 인문 전공 부 전공 교양 최소 학점 총 학점 학점 것 자선 교양 졸업 때 교양 학점 가요 걱정 교양
51,조교님 항상 수고하십니다!!!다름이 아니라 제가 자비유학을 와서 오기전에 수강신청은 했습니다. 휴학신청을 그제 한 상태인데 다시 한국으로 돌아갈지 고민하고 있습니다! 아직 휴학신청 한 건 미결상태인데 지금이라도 취소하면 시간표는 남아있는건가요???,9,조교 항상 수고 제 자비 유학 기전 수강신청 휴학 신청 제 상태 다시 한국 고민 휴학 신청 건 미결 상태 지금 취소 시간표 가요
52,조교님 안녕하세요. 교환학생에 관해 질문이 있어 올립니다.몇몇 글을 보았을 때 최소12학점을 취득해야 다음 학기 국장을 받을 수 있다고 하는데 그 이하이면아예 받을 수 없나요..? 국교팀에 전화했더니 한국장학재단에 물어보라해서 물어봤더니 학교에서 정한 최소 학점(6)만 맞추면 된다 하더라고요.. 답변 부탁드려요ㅠㅠ,8,조교 교환학생 관해 질문 몇몇 글 때 최소 학점 취득 다음 학기 국장 수 그 이하이 아예 수 국교 팀 한국 장학재단 학교 정 최소 학점 만 답변
53,안녕하세요 조교님:) 항상 감사합니다!!저는 본전공 통대/부전공 경영이고 이중으로 경영을 올리고 싶은데 막학기까지 티오가 안날 수도 있을것같아서 후기 이중을 생각하고 있습니다제가 궁금한 것은 8학기까지 제가 채워야하는 졸업학점이 뭐가 기준이 되는것인지입니다제가 지금 부전공이니까 전공+부전공을 이수할때의 졸업요건학점인지 전공+이중전공을 이수할때의 졸업학점인지요!!또한 예를 들어 제가 후기 이중을 하기 위해 8학기까지 전공+이중전공학점인 150학점을 다 들었다치면 9학기때는 150학점을 초과해서 제가 안들은 경영 수업중에서 아무거나 하나 이상 들으면 경영이 이중전공으로 인정되는건가요??? 후기 이중 9학기에 대한 등록금은 어떤식으로 책정되는지도 궁금합니다.,2,조교 항상 저 전공 통 부 전공 경영 이중 경영 막 학기 티 수도 후기 이중 생각 제 것 학기 제 졸업 학점 뭐 기준 제 지금 부 전공 전공 부 전공 이수 때 졸업 요건 학점 전공 이중 전공 이수 때 졸업 학점 인지 또한 예 제 후기 이중 위해 학기 전공 이중 전공 학점 학점 학기 때 학점 초과 제 안 경영 수업 거나 하나 이상 경영 이중 전공 인정 가요 후기 이중 학기 대한 등록금 식 책정
54,"조교님 안녕하세요 궁금한게 있어서 글을 올리게 됐습니다.(졸업인증) 외국어 가산점 제도에 관련해서 여쭤볼게 있습니다. 정규 과정, 비정규 과정, 잉글리시존, 잉글리시 클리닉. 이 네가지를 전부 이수해야 가산점을 받을 수있는 건가요?  제가 이 프로그램중 정규 과정(잉글리시 서바이벌1,2) 만 이수 했는데 가산점을 받을 수있나요? 만약 가능하다면 정규과정 200점의 가산점이 어떤식으로 주어지는지도 궁금합니다. 토익시험 인증기준 점수가 낮아지는건가요..?",0,조교 글 졸업 인증 외국어 가산 점 제도 관련 볼 정규 과정 비 정규 과정 잉글리시 존 잉글리시 클리 닉 이 네가지 전부 이수 가산 점 수 건가 제 이 프로그램 정규 과정 잉글리시 서바이벌 만 이수 가산 점 수 만약 정규 과정 점 가산 점 식 토익시험 인증 기준 점수 가요
55,조교님 혹시 더이상 신입생을 받지 않는 융합전공도 5명이 안되면 폐강되나요?(정보기록학 전공),2,조교 혹시 더 이상 신입생 융합 전공 명 폐강 정보 기록학 전공
56,안녕하세요 조교님저는 현재 막학기를 다니고 있는 4학년입니다막학기지만 남은 학점은 22학점이라 어떻게든 계절 아니면 9학기를 들어야하는 것으로 알고 있었는데최근 동기 중 하나가 막학기생은 별도로 추가 문의를 하면 22학점을 수강할 수 있게 해준다는 얘기를 어디서 들었다고 말해줘 정말인지 여쭤보려고 합니다개강하셔서 바쁘실걸로 알지만 염치불고하고 한번 물어봅니다;(,1,조교 저 현재 막 학기 학년 막 학기 학점 학점 게 계절 학기 것 알 최근 동기 중 하나 막 학기 생 별도 추가 문의 학점 수강 수 얘기 말 정말 개강 걸 알 염치 한번
57,"에타조교님, 안녕하세요! 간절한 마음으로 문의드려요.졸업논문을 쓰기 위해 수강해야하는 수업을 3-2학기에 듣고, 4-1학기에 졸논 제출하면서 심사받아도 되나요?!다른분들이 졸논수업은 4-1학기에, 졸논 제출 및 심사는 4-2학기에 해야한다고 들어서요ㅠㅠㅠㅠㅠ아시는분들 중에 알려주신다면 정말 고맙겠습니다!",1,에타 조교 마음 문의 졸업 논문 쓰기 위해 수강 수업 학기 학기 졸논 제출 심사 다른 졸논 수업 학기 졸논 제출 및 심사 학기 아시 분 중 정말
58,안녕아세요 조교님제가 새내기인데 대학외국어 그 등급나눠서듣는 수업있잖습니까? 그거 놓쳤어요.. 그거 1학년 1학기때 들어야하는 교필 아닌가요? 자리도 적고.. 그거 놓치면 대학외국어 아무거나 들어야하는건가요? 안그래도 진리라서 걱정인데 강의도 못듣고.. 2학년때 또 들을수 있는건가요?,0,안녕 조교 제 새내기 대학 외국어 그 등급 수업 그거 그거 학년 학기 때 교필 자리 그거 대학 외국어 거나 가요 진리 걱정 강의 학년 때 또 가요
59,"안녕하세요 조교님! 제가 중외통 전필과목인 기초중국어(1)을 재수강하려고 하는데요, 기존에는 4학점짜리였던 수업인데 이번에는 6학점으로 바뀌었더라구요.재수강하게 되면 2학점이 추가로 인정되는건지가 궁금합니다!!",8,조교 제 중 외통 필 과목 기초 중국어 재수강 기존 학점 수업 이번 학점 재수강 학점 추가 인정
60,안녕하세요 조교님제가 2019-2 휴학한 상태로겨울 계절을 들었는데요!종정시에서 성적이 확인이 안 돼서요 ㅠㅠ 성적 뜬 것까지는 확인 했었는데지금 확인할 수 있는 방법은 없나요?감사합니다,3,조교 제 휴학 상태 겨울 계절 종 정시 성적 확인 안 성적 것 확인 지금 확인 수 방법
61,"안녕하세요 조교님제가 1학년때 신입생세미나 과목을 페일 해서 이번에 다시 듣는데, 재수강연결기간에 재수강으로 연결해야할까요??감사합니다!",6,조교 제 학년 때 신입생 세미나 과목 페일 이번 다시 재수강 결기 재수강 요
62,안녕하세요 조교님!이번에 영어대교류로 들으려고비고란에 교류라고 써있는 과목을 수강신청했는데왜 구분에 자선으로 들어가는지 모르겠어요ㅠㅠ전 영어대가 1전공인데 전에 했을때는 교류과목도 1전공으로 표시되었는데 왜 구분에 자선이라고 뜨는걸까요?비고란에 분명히 영어대교류과목이라고 쓰여있는데 들으면 인정이 안되나요..?ㅠㅠ,4,조교 이번 영어 교류 비고 란 교류 과목 수강신청 왜 구분 자선 전 영어 대가 전공 전 때 교류 과목 전공 표시 왜 구분 자선 비고 란 영어 교류 과목 인정이
