QUESTION,ANSWER,TAGSET,LEMMA
자대인데 융복합소프트웨어융합전공 신청할 수 있어,이공학계열 소속 학생은 신청할 수 없습니다.,['UM'],자대 융복 소프트웨어 융합전공 신청
휴학생인데 이중전공 변경할 수 있어요,3학기 이상 재학생 및 휴학생에 대해 이중전공 변경 신청이 가능합니다.,['DM'],휴학 이중전공 변경
이중전공은 어떻게 신청해,종합정보시스템 -> 전공/교직관리 -> 이중/2전공/부전공 신청에서 신청하면 됩니다.,['UK'],이중전공 어떻 신청
이중전공 배정 결과는 어디서 알 수 있어,종합정보시스템 -> 전공/교직관리 -> 이수중인 전공에서 확인할 수 있습니다.,['UK'],이중전공 배정 결과 어디
이중전공 신청했는데 정원 초과면 어떻게돼,"34학점 이상자, 성적 순 우선 후 34학점 이하, 성적 순으로 배정합니다. 학번대별 여석이 없는 학과는 신청할 수 없습니다.",['UK'],이중전공 신청 정원 초과
융합전공 부전공으로도 들을 수 있어,융합전공은 부전공으로 이수할 수 없습니다.,['SM'],융합전공 부전공
이중전공 물어보려면 어디로 전화해야 해,학사종합지원센터(Tel: 031-330-4026)로 문의하면 됩니다.,['UK'],이중전공 어디 전화
경영학 하다가 바꾸고 싶은데 바꾸고 나서 재수강 할 수 있나요,이중전공 변경 후 기존 전공 재수강은 불가능합니다.,['UK'],경영학 바꾸 바꾸 재수강
후기이중전공이 뭐야,"부전공 이수자가 정규 8학기 내에 제1전공 졸업학점(부전공 21학점 포함)을 모두 취득한 후, 1~2학기 추가 수학하여 해당 부전공의 이중전공화에 필요한 나머지 학점을 취득함으로써, 제 1전공과 이중전공 학위를 동시에 취득하는 제도입니다.",['DM'],후기 이중전공
후기이중전공 신청 자격이 어떻게돼,부전공을 이수중인 7~8학기생을 대상으로 후기이중전공을 신청할 수 있습니다.,['DM'],후기 이중전공 신청 자격
행정학 이중전공인데 어느 캠퍼스에서 듣나요,"이중전공은 양 캠퍼스에서 가능하나, 부전공은 글로벌캠퍼스에서 가능합니다.",['DM'],행정학 이중전공 캠퍼스
언론정보 이중전공인데 어느 캠퍼스에서 듣나요,"이중전공은 양 캠퍼스에서 가능하나, 부전공은 글로벌캠퍼스에서 가능합니다.",['DM'],언론 정보 이중전공 캠퍼스
광고pr브랜딩 전공인데 서울캠에서 들어요,"이중전공은 양 캠퍼스에서 가능하나, 부전공은 글로벌캠퍼스에서 가능합니다.",['UK'],광고 랜딩 전공 서울캠
ai전공인데 글캠에서 들어야 해요,"이중전공은 양 캠퍼스에서 가능하나, 부전공은 글로벌캠퍼스에서 가능합니다.",['UK'],전공 글캠
어느캠에서 정치외교학 전공 수업 들어야 해요,"이중전공은 양 캠퍼스에서 가능하나, 부전공은 글로벌캠퍼스에서 가능합니다.",['UK'],어느캠 정치 외교학 전공 수업
이중전공 시험 불합격했는데 티오가 있으면 신청할 수 있나요,T.O.와 상관없이 이중전공 선발시험에 합격한 학생만이 이중전공 최종 선발대상자입니다. 시험에 합격하더라도 학점 3.0 미만인 경우 불합격될 수 있습니다.,['UK'],이중전공 시험 합격 티오 신청
디인한은 어느캠에서 들어,디지털인문한국학은 서울캠퍼스에서 이수해야 합니다.,['UK'],인한 어느캠
이중전공 변경기간에 배정이 안됐는데 다음에 신청 가능해요,다음 학기에도 변경기간에 신청 가능합니다.,['UK'],이중전공 변경 기간 배정 다음 신청 가능
이중전공 몇 번 바꿀 수 있어,이중전공은 한 번만 변경 가능합니다.,['UK'],이중전공 바꾸
이중전공 결과 언제나와,2020년 이중전공 배정결과는 6월 말에서 7월 초 예정입니다.,['UK'],이중전공 결과
이중전공 필수로 해야 해,"2007학번 이후 모든 학생은 이중전공, 부전공 또는 전공심화과정 중 1개의 과정을 선택하여 필수 이수하여야 합니다.",['UK'],이중전공 필수
전공심화인데 부전공 꼭 들어야 해,전공심화과정의 경우 부전공은 선택사항입니다.,['SM'],전공심화 부전공
이중전공 몇 학년부터 시작이야,이중전공은 2학년부터 시작합니다.,['UK'],이중전공 학년 시작
부전공 몇학년부터 들으면 돼,부전공은 2학년부터 시작합니다.,['SM'],부전공 학년
이중전공은 몇학년때 신청하는 거야,이중전공 배정시기는 2학년 진급 시로 합니다.,['UK'],이중전공 학년 신청
설캠에서 들을 수 있는 이중전공 뭐있어,"네덜란드어, 스칸디나비아어, 베트남어, 터키.아제르바이잔어, 이란어, 몽골어, 경제학, 국제통상학, 국제학, 경영학, LD전공(2017학번부터), LT전공(2017학번부터), 외국어로서의한국어교육전공(입학전형 기준 외국인학생만 가능), 외국어로서의한국어통번역전공(2018학번부터)(입학전형 기준 외국인학생만 가능), BRICs, 언어와공학, 디지털인문한국학, 동북아외교통상, AI 융합전공이 있으며 양 캠퍼스 동시 개설 전공은 정치외교학, 행정학, 언론.정보, 광고.PR.브랜딩, 방송.영상.뉴미디어 전공이 있습니다.",['DM'],설캠 이중전공
부전공 설캠에서 들을 수 있는 전공이 뭐야,"네덜란드어, 스칸디나비아어, 베트남어, 터키.아제르바이잔어, 이란어, 몽골어, 경제학, 국제통상학, 국제학, 경영학, LD전공(2017학번부터), LT전공(2017학번부터), 외국어로서의한국어교육전공(입학전형 기준 외국인학생만 가능), 외국어로서의한국어통번역전공(2018학번부터)(입학전형 기준 외국인학생만 가능)이 있습니다.",['SM'],부전공 설캠 전공
네덜란드어전공은 어느캠퍼스에서 들어,서울캠퍼스에서 이수해야 합니다.,['UK'],네덜란드어 전공 캠퍼스
스칸디나비아어 이중전공 설캠이야,네. 서울캠퍼스에서 이수하는 전공입니다.,['DM'],스칸디나비아 이중전공 설캠
EU 융합전공 졸업요건이 어떻게돼,EU 융합전공의 경우 졸업시험을 통과하여야 합니다.,['UK'],융합전공 졸업 요건
베트남어 이중전공 어느 캠 수업이야,베트남어 이중전공의 경우 서울캠퍼스에서 이수해야 합니다.,['DM'],베트남어 이중전공 수업
이중전공 중에 혁신융합전공은 뭐가 있어,"지역경제개발협력, 보험계리학, 학생주도의 개설학과가 있습니다.","['UK', 'UM']",이중전공 혁신 융합전공
융합전공 어떤거 개설돼있어,"서울 캠퍼스의 경우 BRICs, 언어와공학, 디지털인문한국학, 동북아외교통상, AI 융합전공이 융합전공으로 개설되어 있으며, 글로벌 캠퍼스의 경우 EU, 문화콘텐츠학, 국가리더(글로벌), 융복합소프트웨어, 세계문화예술경영이 융합전공으로 개설되어 있습니다.",['UK'],융합전공 개설
광역특화전공 아직도 신청할 수 있어,광역특화전공의 경우 신규 신청이 불가능합니다.,['UK'],광역 특화 전공 신청
정보 기록학 융합전공을 신청하고 싶은데 신청 가능할까요,정보.기록학 융합전공은 신규 신청이 불가능합니다.,['UM'],정보 기록학 융합전공 신청 신청 가능
후기이중전공은 몇 년도부터 시행되었나요,2014년부터 시행된 제도입니다.,['DM'],후기 이중전공 년도 시행
부전공 이수중인데 후기이중전공으로 올릴 수 있나요,네. 가능합니다. 정규 8학기 내 제1전공 졸업학점(부전공 21학점 포함)을 모두 취득한 경우 가능합니다.,"['SM', 'DM']",부전공 이수 후기 이중전공 올리
후기이중전공은 몇 명 선발하는지 어디서 봐,후기이중전공 선발의 경우 학과마다 상이하니 학과 홈페이지를 통해 확인하시면 됩니다.,['DM'],후기 이중전공 선발 어디
학석사 연계과정입니다 후기이중전공을 신청할 수 있나요,학.석사 연계과정 이수자의 경우 후기이중전공을 신청할 수 없습니다.,['DM'],석사 연계 과정 후기 이중전공 신청
후기이중전공은 언제 신청해야 하나요,후기이중전공의 경우 매년 4월 중 신청할 수 있습니다.,['DM'],후기 이중전공 신청
후기 이중전공 취소는 언제 할 수 있어,"학기 3/4선 이후부터 다음 학기 1/4선 이전까지만 가능하며, 졸업사정회의를 전후로 당학기 또는 다음 학기에 졸업할 수 있습니다.",['DM'],후기 이중전공 취소
후기 이중전공 전공 궁금한 게 있는데 어디로 연락해야 해,학사종합지원센터(Tel: 031-330-4026)로 문의하면 됩니다.,['DM'],후기 이중전공 전공 어디 연락
언어와공학전공은 졸업 요건이 어떻게 되요,언어와공학전공의 경우 졸업시험을 통과하여야 졸업이 가능합니다.,['UK'],언어 공학 전공 졸업 요건
KFL문법을 들었는데 자선으로 신청됐어요,1전공 소속 단과대 교학 파트에 방문하여 이수구분 변경신청서를 작성하여야 이중전공 학점으로 처리됩니다.,['UK'],문법 자선 신청
언어분석을위한프로그래밍을 들었는데 자선으로 신청됐어요,1전공 소속 단과대 교학 파트에 방문하여 이수구분 변경신청서를 작성하여야 이중전공 학점으로 처리됩니다.,['UK'],언어 분석 위하 프로그래밍 자선 신청
한국근세사를 들었는데 자선으로 신청됐어요,1전공 소속 단과대 교학 파트에 방문하여 이수구분 변경신청서를 작성하여야 이중전공 학점으로 처리됩니다.,['UK'],한국 근세사 자선 신청
한국철학사를 들었는데 자선으로 신청됐어요,1전공 소속 단과대 교학 파트에 방문하여 이수구분 변경신청서를 작성하여야 이중전공 학점으로 처리됩니다.,['UK'],한국 철학사 자선 신청
인문지식위키 수업을 수강했는데 자선으로 신청됐으면 어떻게 해야 하나요,1전공 소속 단과대 교학 파트에 방문하여 이수구분 변경신청서를 작성하여야 이중전공 학점으로 처리됩니다.,['UK'],인문 지식 위키 수업 수강 자선 신청
이중전공 신청하려고 하는데 자리가 없으면 어떻게돼요,이중전공 학과별/학번대별 여석이 없는 학과나 전공은 신청이 불가능합니다.,['UK'],이중전공 신청 자리
국제경영학과 이중전공 신청할 수 있어요,경상대학의 국제경영학과는 이중(부)전공을 신청할 수 없습니다.,['DM'],국제 경영학 이중전공 신청
경제학과 이중전공 신청할 수 있나요,경상대학의 경제학과의 경우 이중(부)전공을 신청할 수 없습니다.,['DM'],경제학 이중전공 신청
경영정보 이중전공 싶은데 가능해요,경상대학의 경영정보학과의 경우 이중(부)전공을 신청할 수 없습니다.,['DM'],경영 정보 이중전공 가능
편입생인데 부전공 신청해도 되나요,편입생도 부전공을 이수할 수 있습니다. 단 이수 시 졸업조건이 변경됩니다.,['SM'],편입 부전공 신청
중복학과는 이중전공 서울로 신청 못해,네. 불가능합니다.,['DM'],중복 학과 이중전공 서울로 신청
설캠이중 바꿨는데 그전 수업은 재수강 못하나요,네. 이중전공 변경 이후에는 재수강이 불가능합니다.,['UK'],설캠이 바꾸 수업 재수강 못하
이중전공 신청 기간이 지났는데 추가 신청 안하나요,이중전공 신청기간 이후에는 추가 신청이 절대 불가능합니다.,['UK'],이중전공 신청 기간 지나 추가 신청
이중전공 몇 지망까지 지원가능해,이중전공의 경우 2지망까지 지원가능합니다.,['UK'],이중전공 지망 지원 가능
후기이중전공 허가자는 언제 발표돼,7월 초 홈페이지 공고예정입니다.,['DM'],후기 이중전공 허가 발표
전공심화는 언제 신청하나요,1월과 7월 부전공 신청 기간에 신청하시면 됩니다.,['UK'],전공심화 신청
부전공은 언제 신청하나요,1월과 7월에 신청하시면 됩니다.,['SM'],부전공 신청
AI융합전공 2지망으로 신청 불가능해요,AI 융합전공의 경우 2지망으로 신청불가능합니다.,['UK'],융합전공 지망 신청 가능
전공필수 과목은 어디서 보나요,소속 학과 홈페이지에서 확인하시면 됩니다.,['UK'],전공 필수 과목 어디 보나
AI 융합전공 신청하려고 하는데 어떻게 하면 되나요,AI 융합전공 이중전공신청서를 작성하여 학생 소속 캠퍼스 학사종합지원센터에서 접수하시면 됩니다.,['UK'],융합전공 신청 어떻
군대 가야 하는데 이중전공 신청을 하고 가야 하나요,현재 2회째 학기 재학자로 수업일수 3/4선 이후 군입예정자도 신청하여야 합니다.,['DM'],군대 이중전공 신청
전공필수가 1전공과 이중전공이 겹치면 어떻게돼요,각 학과 홈페이지를 통해 확인하시면 됩니다.,['DM'],전공 필수 전공 이중전공 겹치
이중전공 신청할 때 2지망도 꼭 적어야 하나요,2지망 신청은 선택사항이므로 신청하지 않아도 됩니다.,['UK'],이중전공 신청 지망
이중전공 몇 명 신청했는지 확인 가능한가요,이중전공은 당해 학기를 기준으로 1지망 신청 내역 기준 학과별 신청인원 및 경쟁률을 실시간으로 조회가능합니다.,['UK'],이중전공 신청 확인 가능
이중전공 신청 경쟁률 확인할 수 있어요,이중전공은 당해 학기를 기준으로 1지망 신청 내역 기준 학과별 신청인원 및 경쟁률을 실시간으로 조회가능합니다.,['UK'],이중전공 신청 경쟁 확인
이전 연도 이중전공 배정 결과 어디서 볼 수 있나요,기존 학번 경쟁률 및 기존 배정 결과는 공개하지 않습니다.,['DM'],이전 연도 이중전공 배정 결과 어디
이중전공 예전 경쟁률은 어디서 확인해,기존 학번 경쟁률 및 기존 배정 결과는 공개하지 않습니다.,['UK'],이중전공 예전 경쟁 어디 확인
2지망을 신청했는데 1지망 선발인원이 초과됐으면 어떡해,1지망 선발인원을 이미 초과해버린 경우 2지망으로 신청 시 배정해주지 않습니다.,['UK'],지망 신청 지망 선발 인원 초과
설캠에서 이중전공 못듣는 학과는 어떤 게 있어,"영어대학 각 학과(전공), 프랑스어과, 독일어과, 노어과, 스페인어과, 이탈리아어과, 포르투갈어과, 말레이.인도네시아어과, 아랍어과, 태국어과, 인도어과, 중국어대학 및 일본어대학 각 전공에 대해서는 글로벌캠퍼스 학생이 신청불가능합니다.",['DM'],설캠 이중전공 학과
이중전공 변경도 2지망까지 신청 가능합니까,이중전공 변경 신청은 1지망만 신청 가능합니다.,['UK'],이중전공 변경 지망 신청 가능
LD전공 이중전공으로 신청 가능한가요,LD전공의 경우 2017학번부터 이중전공 신청이 가능합니다.,['DM'],전공 이중전공 신청 가능
LT전공 이중전공 신청 가능해,LT전공의 경우 2017학번부터 이중전공 신청이 가능합니다.,['DM'],전공 이중전공 신청 가능
2학기 이중전공 변경 신청 언젠가요,12월 말에서 1월 초에 예정입니다.,['DM'],학기 이중전공 변경 신청
글로벌 캠퍼스에 개설된 융합전공은 어떤 게 있나요,"지역경제개발협력전공, 보험계리학전공, EU전공, 국가리더전공, 문화콘텐츠학전공, 세계문화예술경영전공, 융복합소프트웨어전공이 있습니다.",['UM'],글로벌 캠퍼스 개설 융합전공
휴학생인데 후기이중전공 신청 가능한가요,신청 가능합니다.,['DM'],휴학 후기 이중전공 신청 가능
융합전공은 수강편람 몇쪽에 있어, 융합전공 자료는 2020년 수강편람 26~43쪽을 참고하기 바랍니다 ,['UK'],융합전공 수강
AI융합전공은 어느 캠퍼스에 있나요,AI융합전공은 2020년 현재 서울캠퍼스에서 개설 돼 있습니다.,['UK'],융합전공 캠퍼스
AI융합전공은 어느 캠퍼스에서 들을 수 있나요,AI융합전공은 2020년 현재 서울캠퍼스에서 수강 가능합니다.,['UK'],융합전공 캠퍼스
융합전공 부전공으로 이수 가능한가요,융합전공은 이중(제2)전공으로만 이수 가능합니다. 국가 리더 전공은 부전공도 가능합니다.,"['UK', 'SM']",융합전공 부전공 이수 가능
광역특화전공 정보기록학 전공 신청 가능한가요,"광역특화전공, 정보기록학전공은 2020-1학기부터 폐지. 신규 신청 불가합니다.",['UK'],광역 특화 전공 정보 기록학 전공 신청 가능
BRICs브릭스전공은 어디에 개설돼 있나요,BRICs(브릭스)전공은 서울 캠퍼스에 개설 돼 있습니다.,['UK'],브릭스 전공 어디 개설
언어와 공학 전공은 어디에 개설돼 있나요,언어와 공학 전공은 서울 캠퍼스에 개설 돼 있습니다. ,['UK'],언어 공학 전공 어디 개설
융합전공이 뭔가요,"2개 이상의 학과(학부/전공)가 연계하여 개설한 전공으로, 이중전공으로만 이수 가능합니다. (국가리더전공은 부전공도 가능합니다.)",['UM'],융합전공
서울 캠퍼스에서 듣는 융합전공은 어떤 게 있나요,"서울 캠퍼스에서 수강할 수 있는 융합전공은 브릭스 전공, 동북아 외교 통상 전공(구 동북아 전공), 언어와 공학 전공, 디지털 인문 한국학 전공, AI융합전공이 있습니다. ",['UM'],서울 캠퍼스 융합전공
글로벌 캠퍼스에서 듣는 융합전공은 어떤 게 있나요,"EU전공, 문화콘텐츠학 전공, 국가리더전공, 융복합소프트웨어 전공, 세계문화예술경영 전공이 있습니다. ",['UM'],글로벌 캠퍼스 융합전공
BRICs브릭스전공은 글로벌 캠퍼스에서 들을 수 있나요,"BRICs(브릭스)전공은 서울 캠퍼스에서 수강 가능하며, 현재 글로벌 캠퍼스 강의는 폐지되었습니다. ",['UK'],브릭스 전공 글로벌 캠퍼스
BRICS브릭스전공 펠로우쉽 인정 학점은 어떻게 되나요,"BRICs펠로우십 10학점, 자선 8학점(최대 18학점)으로 최대 18학점이 인정됩니다. ",['UK'],브릭스 전공 펠로우 인정 학점
71 갔다 왔어도 BRICS학점으로 인정 되나요,"펠로우십과 무관한 국내외 학점교류(인턴십, 7+1제도, 단기어학연수 등)는 BRICs 융합전공 학점으로 인정하지 않습니다.",['UK'],71 갔다오 학점 인정
세계문화예술경영전공 졸업 요건은 어떻게 되나요,졸업 시험 및 논문 중 택1 입니다.,['UK'],세계 문화 예술 경영 전공 졸업 요건
문화콘텐츠학전공을 졸업하면 어떤 학위가 나오나요,문화콘텐츠 학사 학위가 나옵니다.,['UK'],문화콘텐츠 학전 졸업 학위 나오
문화콘텐츠학 전공 문의는 어디에 하면 되나요,서울캠퍼스 대학원 글로벌문화콘텐츠학과(02-2173-2936),['UK'],문화콘텐츠 전공 문의 어디
융복합소프트웨어 전공의 필수 전공이 무엇인가요,"컴퓨터프로그래밍1, 컴퓨터프로그래밍2, 자료구조, 알고리즘, 소프트웨어공학, 종합설계가 필수 이수 전공입니다.",['UK'],융복 소프트웨어 전공의 필수 전공 무엇
공대생인데 융복합소프트웨어 전공 들을 수 있나요,"융복합소프트웨어 전공은 공과대학, 자연과학대학을 제외한 인문계열 학생이 이수가능합니다.",['UK'],공대 융복 소프트웨어 전공
공대생인데 AI융합전공 신청 가능한가요,"AI융합전공은 공과대학, 자연과학대학을 제외한 인문계열 학생이 이수가능합니다.",['UM'],공대 융합전공 신청 가능
자대생인데 AI융합전공 신청 가능한가요,"AI융합전공은 공과대학, 자연과학대학을 제외한 인문계열 학생이 이수가능합니다.",['UM'],자대 융합전공 신청 가능
혁신융합전공이 무엇인가요,"학생이 스스로 교육과정을 구성하여 학교의 승인을 받은 후 전공을 이수하는 전공과정입니다. 2학년 이상의 학부생은 관심 분야의 전공교과과정(2개 전공 이상, 54학점 이상)을 편성하여 학사종합지원센터에 신청서를 제출하고, 이를 혁신융합전공으로 인정받으면 이중전공으로 이수 할 수 있습니다. 최종 승인을 받은 혁신융합전공 중 필수과목은 반드시 이수하여야 하며, 총 42학점 이상을 이수하여야 이중전공으로 인정받을 수 있습니다. 자세한 사항은 학사 공지 496번 글을 확인하시기 바랍니다. ",['UM'],혁신 융합전공 무엇
광역특화전공이 뭔가요,국가주도 CK-Ⅱ 사업의 일환으로 2015학년도부터 신설되는 ‘광역특화’ 융합전 공은 기존 단일 국가 단일 언어 차원의 외국학 교육을 ‘로컬리티(Locality)’라는 초국가 적 광역단위로 확대 심화시킨 국제지역대학만의 독창적인 이중전공 프로그램입니다.,['UK'],광역 특화 전공
디지털인문학전공이 뭔가요,"한국의 인문학적 전통과 문화에 대한 심층적 지식을 바탕으로 디지털 매체를 활용한 해외 송출과 쌍방향 소통이 가능한 지식통합형 인재를 길러내기 위한 융합전공으로 한국의 언어/문학, 사상, 역사에 대한 인문지식을 균형 있게 학습하고 이를 디지털 테 크놀로지를 활용하여 콘텐츠화 하는 방법론을 습득합니다.",['UK'],디지털 인문학 전공
디지털인문학전공의 연계기초과목엔 뭐가 있나요,"한국철학사(철학과), 한국사입문(사학과) 또는 한국문화사(사학 부전공), KFL문법(언어인지과학과), 인문지식 위키(지식콘텐츠학부) 또는 디 지털시대의 텍스트와 지식(문화콘텐츠학융합전공), 한국현대사회와 문학(한국학과), 기 록의 조직화와 정보-문화 서비스(정보기록문화유산관리학 전공), 컴퓨터 프로그래밍 (융복합 소프트웨어 전공) 또는 언어분석을 위한 프로그래밍 (언어와 공학 전공) 외 기타 연계기초과목과 유사과목으로 주임교수가 인정한 과목이 있습니다. ",['UK'],디지털 문학 전공 연계 기초 과목
디지털인문학전공 연계기초 과목 학점인정은 어떻게 하나요,수강신청 후 학사종합지원센터 단과대 교학파트(본인 1전공 소속 기준)에 방문하여 이수구분신청서를 작성해야 합니다. ,['UK'],디지털 인문학 전공 연계 기초 과목 학점 인정 어떻
EU전공 졸업 요건은 어떻게 되나요,논술형 종합시험으로 실시합니다. ,['UK'],전공 졸업 요건
