내용,댓글,댓글쓴이,대댓글여부,id
안녕하세요 에타조교님! 만약 재수강을 하게 된다면 강좌 이수 완료후에 이전 수업정보가 사라지나요? 아니면 재수강을 하게 되는 순간 이전 수업정보가 사라지나요? 감사합니당 ㅎㅎ,['재수강을 한 학기의 3/4이 지나야 기존의 성적이 없어집니다 그리고나서 학기 종료 후 재수강한 성적이 입력됩니다'],['에타조교'],['parent'],132917848
"안녕하세요! 에타조교님 더운데 고생이 많으십니다 ㅜㅜ후기 이중에 대해 궁금한것ㅇ 있습니다.제가 학점이 좀 안좋은데, 만약에 7학기에 후기 이중 떨어서 떨어지면, 다음학기 휴학하고여름 계절 겨울 계절해서 재수강 하고 학점 올려서복학한 내년 8학기에 다시 후기이중에 신청 할 수 있나요? ㅜㅜㅜ항상 감사합니다",['7~8학기 재학생이 대상이므로 가능합니다'],['에타조교'],['parent'],132907743
조교님 안녕하세요! 서울캠 학생이 글로벌캠 전공수업을 자선으로 수강할 수 있나요?,"['이중, 부전 등 일부 경우를 제외한 캠간 전공수업은 수강신청 및 이수를 할 수 없습니다']",['에타조교'],['parent'],132879440
안녕하세요 조교님!항상 답변해주신 내용을 학교 생활에 유용하게 적용하고 있습니다! 감사합니다 ☺️TRTL 수업이 두 카테고리에서 괄호 안에 숫자만 다르고 수업 이름은 같은데 학수번호 앞 여섯자리는 달라서 질문 드립니다!두 수업을 다른수업으로 봐도 되는 건가요?두 수업 모두 이수하는 것이 가능한지 알고싶습니다!,"['학수번호 앞 여섯자리가 같으면 동일과목입니다 뒷자리는 분반 등으로 달라질 수는 있지만 기본적으론 같은 과목이니 하나만 이수 가능합니다', '언문-공감을위한 Lectio (TRTL 202) U78307201 문예-감성을위한 Lectio (TRTL 102) Y91134301 이렇게 되어있는데 같은 수업이라 하나만 이수 가능하다는 말씀이신거 맞죠??', '제가 글을 잘못읽었군요...학수번호 앞 여섯자리가 다르면 별개의 과목입니다 언급하신 수업들은 다른과목이며 둘다 이수하실 수 있습니다', '앗 감사합니다!! 😊😊']","['에타조교', '익명(글쓴이)', '에타조교', '익명(글쓴이)']","['parent', 'child', 'child', 'child']",132869862
에타조교님졸업학점이 134학점을 초과해도 되나요??만약 초과한다면 어떻게 되나요??4-1에 134를 다 채운다면 어떻게 되는건가요?!,"['7학기까지 졸업학점을 다 이수했어도 8학기 등록은 해야 졸업이 됩니다 조기졸업자만 7학기 졸업이 가능합니다', '그러면 졸업학점을 다 들어도 8학기에 수업 신청해서 들을 수 있는거에용??', '그렇습니다', '감사합니당❤️']","['에타조교', '익명(글쓴이)', '에타조교', '익명(글쓴이)']","['parent', 'child', 'child', 'child']",132832020
"안녕하세요 조교님통대인데요 외국어논리및논술, 외국어교재연구지도법, 외국어교과교육론과 같은 교과교육영역은 전공학점으로 들어간다고 들었는데 저는 지금 교직점수로 구분되어있는데 어디서부터 잘못된건가용..? 분명 수강편람에도 전공으로 구분되어있어서 진짜 전공과목은 62학점만 들으면 된다고 하셨었는데 아닌가요..? ㅠㅠㅠㅠ","['학종지에 이수구분 변경신청을 하셔서 전공으로 바꾸시길 바랍니다', '감사합니다!!!!!!!']","['에타조교', '익명(글쓴이)']","['parent', 'child']",132831174
안녕하세요 조교님군휴학이 아닌 일반휴학은 몇개학기까지 가능한가요?,['3년입니다'],['에타조교'],['parent'],132708067
안녕하세요 조교님계절학기는 성적입력 기간이 어떻게 되나요?,"['보통 계절학기 끝나고 바로 그 다음주가 입력 및 정정기간입니다', '감사합니다!']","['에타조교', '익명(글쓴이)']","['parent', 'parent']",132705866
"안녕하세요 조교님,항상 질문에 답해주셔 노고에 감사드립니다.졸업 인증과 논문(시험)을 모두 통과하고 학점을 모두 이수한 상태에서는 졸업 유예가 불가능한가요?","['이미 졸업인증 및 시험, 학점이수가 모두 끝났다면 졸업은 확정입니다']",['에타조교'],['parent'],132700315
"안녕하세요 조교님 항상 감사합니다.다름이아니라 군휴학에 대한것입니다. 저가 지금 군복무를 하고 있어서 학교에 직접 전화하고 싶으나 근무시간이 핸드폰 사용시간과 맞지 않아 여기에 질문드립니다! 제가 2019년 12월에 입대를 하기전에 군대 발표가 예정되지 않아서  2019년 2학기 시작전에 등록휴학을 군대기휴학으로 해놓았습니다. 근데 어디서 군대 들어가고 휴가나와서 바꿔도 된다고들어서 군휴학을 돌리지않고 그대로 입대를 하고, 현재까지 복무중입니다.. 이 군대기 휴학을 8월에 휴가나와서 군휴학으로 바꿀 수 있나요??","['+ 종정시 들어가서 신청해봤는데 군입대 예정일이  현재보다 빨라서 신청이 안된다고 합니다.', '헐헝헗견럲', '군휴학 신청은 입대예정서 또는 복무증명서같은 증빙서류가 필요합니다 현재 학생은 일반휴학으로 되어있을텐데 휴가 때 신청하시거나 또는 여건이 된다면 부대에서 복무증명서를 발급받아 우편 제출하시길 바랍니다 우편보낼때 학번, 학과 등의 인적사항을 기재하고 군휴학을 신청한다는 편지도 동봉하시면 바로 처리됩니다', '지금은 복무 중이시기 때문에 신청일자보다 빠른 입대예정서는 안되고 부대 인사과에서 발급한 복무증명서면 될 것 같습니다']","['익명(글쓴이)', '익명2', '에타조교', '에타조교']","['parent', 'parent', 'parent', 'parent']",132670981
"안녕하세요 조교님! 항상 친절하게 답변해주셔서 감사합니다 [:현재 일학년을 마친 상태이고 9월에 시작하는 다음학기에 2학년 1학기로 들어갈 예정이었는데, 이번 여름부터 휴학을 하게 되었습니다. 그리고 아직 이중전공이나 부전공을 정하지 못해서, 여기에서 오는 애매함때문에 질문을 드리게 되었습니다!우선 첫번째는 학년에 관한 질문입니다. 1학년을 다 마치고 휴학을 한다면, 복학하기 전까지 저의 학년은 1학년인건지, 아니면 휴학 중에도 2학년으로 처리가 되는 것인지가 궁금합니다.두번째는 이중전공/부전공 신청에 관한 것입니다. 아직 이중전공이나 부전공, 혹은 전공심화, 이 중 어떤 것도 신청한 적이 없고 아직 고민 중에 있습니다.만약 제가 1년 휴학 후 복학한다고 가정하면, 저는 보통 학기말에서 당 학기 방학 중에 진행되는 이중/부전공/전공심화 신청 기간에 의해서, 휴학 중에 이중전공 혹은 부전공/전공심화를 신청하게 될텐데, 그때 저는 1학년 신분으로 신청하게 되는 것인지, 2학년 신분으로 신청하게 되는 것인지 궁금합니다.그리고 2학년부터의 이중전공신청은 이중전공변경 신청으로 가능하다고 알고 있습니다. 그렇다면 제가 1학년을 마친 상태에서 휴학을 하게 된다면, 신청내역이 전혀 없는 저의 휴학 중 신청은 '이중전공변경 신청'인지, 아니면 '1학년 2학기 재학 중이며 2학년에 진급 예정인 학생'이 신청 대상이 되는 일반적인 이중전공 신청인지 -가 최종적으로 궁금합니다.항상 친절하게 답변해주신 것에 진심으로 감사드립니다! 좋은 하루 되세요 [:","['1학년 2학기에 이중전공 신청을 하지 않았어도 그 기회는 자동으로 소멸됩니다 따라서 학생은 2학년 이후 변경신청으로만 이중 신청이 가능합니다 1학년 수료 후 휴학중이어도 2학년 진급예정자이니 그걸로 신청하시면 됩니다', '감사합니다!!']","['에타조교', '익명(글쓴이)']","['parent', 'parent']",132666391
안녕하세요 조교님 질문이있습니다제가이번에 졸업을 못하고 2021년 2월에 졸업을 하게될 학생 (졸업시험때문에)인데 졸업예정일자엔 2020년 8월21일로 나오거든요?? 나중에 자동으로 2021년으로 표기되게 나오나요??,['8학기 이상 재학생은 자동으로 졸업사정 대상자(졸업예정자)가 됩니다 졸업 요건이 충족되지 않았다면 계속 재학생 신분이 유지되니 신경쓸 필요 없습니다'],['에타조교'],['parent'],132645608
"안녕하세요 조교님 ! 항상 감사합니다 ! 국가리더 전공학점으로 인정되는 교양 수업에 대해 궁금해서요! 제가 교양 a라는 수업을 1학년 때 C+ 받아서 재수강 해야하는데 , 이 수업이 2019-2 이후부터 국리 전공 과목으로 인정되는 것 같더라고요. 현재 3학년인데 교양 a를 지금 재수강한 후 국리 과목으로 학점 인정받을 수 있을까요? 재수강하는 과목이지만 2019-2 이후에 수강하는 것이기 때문에 학점 인정이 가능한지 궁금합니다 .. 감사합니다ㅜㅜ",['언제 수강을 했든 현재 국리에서 전공학점으로 인정한다면 가능합니다 학점 취득 후 학종지에 이수구분 변경신청을 하시길 바랍니다'],['에타조교'],['parent'],132601095
안녕하세요!혹시 경영학 부전공은 경영학부 수업은 인정되지 않는 건가요?,['그건 개설된 과목에 따라 학과측의 인정 여부가 달라집니다 수강편람 마지막페이지의 수강유의교과목 현황에서 전공교류과목을 검색해보시거나 또는 과사에 직접 문의바랍니다'],['에타조교'],['parent'],132578022
조교님 안녕하세요😊 수고 많으십니다.제가 이번 2020 2학기를 휴학할 계획인데 휴학 후 2020 겨울계절학기를 수강할 수 있나요?(2021년 1학기 복학 예정일 경우) 그리고 2020 1학기까지 수강했으며 7학기생인데 2학기 휴학 후 다 들어야할 학점이 2-3학점 정도 더 남아있는데 겨울 계절학기를 들을 수 있을까요?,['2020-1을 끝으로 총 7학기를 수료했고 졸업학점이 2~3학점 남았다는 뜻인가요? 일단 그렇다면 계절학기 이수는 할 수 없습니다 7학기생인 경우 졸업학점이 6학점 이하로 남아있으면 신청할 수 없기 때문입니다'],['에타조교'],['parent'],132570343
안녕하세요 조교님!! 이번 2020 1학기 파견학생으로 다녀왔는데요 혹시 이번년도 2학기를 휴학신청 먼저 하고 9월 중에 있는 국외교류학점인정기간에 학점을 인정받을 수 있나요?,"['휴학 여부와 학점 인정 사이에는 어떤 관련도 없나요?', '국외교류학점은 일반적으로 파견 직후 1학기 이내에 신청해서 인정받으면 됩니다 휴학 여부는 상관없습니다']","['익명(글쓴이)', '에타조교']","['parent', 'parent']",132567888
"안녕하세요 조교님😊고생많으십니다!이중전공 및 부전공에 관련되어 문의드립니다.저는 현재 3학년 1학기 이수를 마친상태이고,이중전공은 국제통상학과입니다.이미 이번학기 이중변경 기간이 지난 것과 다음 신청 기간은 11월인 것을 알고있습니다. 또한, ellt 를 이중전공으로 하고싶어 고민 중입니다. 학제상,1. 이번7월말 이중전공(국통) 취소와 부전공(ellt) 신청이 동시에 가능한지.2. 부전공(ellt)으로 3학년 2학기에 수업을  들어놓고 11월 이중변경 신청기간에 이중으로 올릴 수 있는지여쭙니다.매번 감사합니다 조교님!건강하시길 바랍니다.","['+3. 만약 이번 7월에 부전공(ellt)으로 신청해놓고 추후에 이중(ellt)로 올리지 않을 시에 1전공을 전공심화로 올릴 수 있는지 여쭙니다!', '7월에 부전공(전공심화)로 ellt를 신청하면 기존의 국통은 자동으로 취소됩니다 그리고 나서 이중전공 변경신청 때 이중으로 올릴지 아니면 계속 부전으로 들을지는 학생 선택입니다', '감사합니다!! 혹시 1전공+A이중 -> 1전공심화+B부전 -> 1전공+B이중  또는 1전공+A이중 -> 1전공+B부전 -> 1전공심화 +B부전 이렇게도 가능한가요?', '부전 신청할 때 처음부터 전공심화+부전으로 신청하시면 됩니다 번거롭게 두번 신청할 필요없죠', '추후에 이중으로 올리는건 학생 선택입니다', '네~감사합니다 조교님. 전공심화+부전 상태에서 이중으로 올리게되면 자동으로 전공심화는 취소되는거군요. 정말 도움많이됐습니다 감사합니다!!']","['익명(글쓴이)', '에타조교', '익명(글쓴이)', '에타조교', '에타조교', '익명(글쓴이)']","['parent', 'parent', 'child', 'child', 'child', 'child']",132561648
항상 고생 많으십니다 조교님! 졸업유예 관련해서 질문이 있어서 글을 쓰게 되었습니다.1)  만약에 4-2학기다 끝났는데도 졸업 이수 학점이 모자라면 자연스럽게 추가 학기로 넘어가는거 맞나요?2) 만약에 졸업 요건을 다 갖춰서 학교에서 인증(?)을 받았는데도 취업때문에 졸업을 유예하는 방법이 따로 존재하나요?귀찮게 해드려서 정말 죄송합니다!,"['1. 그렇습니다 계속 재학생 신분이 유지됩니다 2. 한번 졸업이 확정되면 다시 되돌릴 수 없습니다 그래서 유예를 희망하면 보통 인증을 미루는 편입니다', '자세한 답변 감사합니다!!']","['에타조교', '익명(글쓴이)']","['parent', 'child']",132533478
"안녕하세요 조교님! 재수강에 대해 여쭤보고 싶은데요. 재수강은 같은 카테고리 안에서는 다른 강의로 가능하잖아요. 그런데 재수강하려고 한 강의가 폐지되었더라고요. 그럼 같은 카테고리 내 다른 강의를 들으면 되는 건가요, 아님 다른 카테고리도 기능한가요?","['교양과목의 경우 카테고리 상관없이 재수강 연결이 가능합니다 (미네르바, 교양외국어 등 필수과목은 제외)', '감사합니다 조교님!:)']","['에타조교', '익명(글쓴이)']","['parent', 'child']",132519351
"조교님 군휴학 관련 질문드립니다올해 11월에 입대예정이라 아직 입영통지서가 안나왔습니다. 그런데 군휴학을 신청하려면 입영통지서가 있어야되는데, 그러면 입영통지서 나오기 전까지는 신청을 못하고 개강해도 수업 안듣고 기다려야 하나요?","['일반휴학 신청 후 추후에 군휴학으로 전환하셔야 합니다 2~3월, 8~9월 입대는 학기랑 딱 맞아서 휴복학 신청기간에 바로 군휴학을 신청하면 되지만 이렇게 학기중 입대인 경우엔 위와같은 방법을 쓰셔야 합니다']",['에타조교'],['parent'],132510469
"안녕하세요 조교님!헷갈리는 부분이 있어서 질문 남깁니다. 글로벌캠퍼스 통번역학과이고 부전공을 하고 있는데요, 이중전공을 할 경우 이수해야할 이중학점이 총 42학점인데 부전공의 경우 21학점으로 나와있더라구요. 이중이랑 부전에서 차이나는 나머지 21학점은 제가 전공학점이나 부전공학점에서 자유롭게 채워도 된다는 의미인가요??",['졸업배분표에 나와있는 각 영역별 이수학점 이외의 나머지 학점은 자유롭게 채우시면 됩니다'],['에타조교'],['parent'],132473610
안녕하세요 조교님 제가 이중전공 변경을 신청해서 배정을 받은 상태입니다. 1.휴학 중 변경을 신청해 아직 수업을 듣지 않았습니다 2. 이중전공을 변경하고 싶지만 배정 후에는 변경이 불가하다고 들었는데 이전의 이중 전공으론 돌아갈 수 없는건가요?ㅠㅠ 3. 만약 변경이 불가하다면 이중변경 취소 후 부전공 신청은 가능한가요? 답변 부탁드리겠습니다!,"['이중전공 변경은 재학 중 1회만 가능합니다 따라서 이미 변경이 됐다면 다시 재변경할 수 없지만 후기이중 또는 부전공 신청은 가능합니다', '만약 신청하고 싶은게 부전공이면 어떻게 되는 건가요??']","['에타조교', '익명1']","['parent', 'child']",132332673
안녕하세요 조교님고생이 많으십니다.토익성적만 제출하면 졸업이 되는데 학사종합지원센터에 토익성적은 어떻게 제출하는 건가요?자세히 설명해주는 곳이 없어서 학종지 게시판에 문의해봤는데 답변이 아직 안 달려서 여쭤봅니다.감사합니다.,"['ㅇㄷ', '학종지의 졸업담당자에게 제출하면 됩니다']","['익명1', '에타조교']","['parent', 'parent']",132320258
조교님 안녕하세요ㅎㅎ항상 고생 많으십니다ㅠㅠ 다름이 아니라 혹시 이중전공을 A전공에서 B전공으로 변경할 예정인데 변경 전에 B전공을 미리 듣고 있어도 자선으로 안넘어가고 B전공 점수로 들어가나요?!,"['그렇습니다 간혹 이중으로 바꿨는데도 자선이 계속 유지되는 경우가 있는데 학종지에 이수구분 변경신청을 하시면 바꿔줍니다', '아하 정말 감사합니다!!!!!!']","['에타조교', '익명(글쓴이)']","['parent', 'child']",132191127
휴학은 3년까지만가능한거에요??,"['일반휴학은 최대 3년입니다 (군휴학, 모성보호휴학 등은 포함되지 않음)']",['에타조교'],['parent'],132154466
안녕하세요 ! 조교님 !개인 사정으로 4학년 2학기에 6학점만 듣고 추가학기로 남은 학점을 들으려고 하는데요!4-2학기에 6학점만 들어도 약 400만원 정도의등록금을 다 내야하나요?? 감사합니당,"['조교 아니지만 읽다가 답 남깁니다. 8학기까지는 무조건 전액 등록금 내야한다고 합니다.', '대신 답해주셔서 감사합니다^^']","['익명1', '에타조교']","['parent', 'child']",132132768
"조교님 안녕하세요:)요즘 같이 더운 날 고생이 많으십니다.다름이 아니라 추가학기 관련해서 문의 드릴 게 있어서이렇게 문의 드리게 되었습니다.현재 추가학기를 마친 상태이지만,이수학점은 다 채운 상황이고,전공필수 학점을 다 채우지 않은 상황입니다.이번 2학기에 전공필수 학점을 다 수강하지 않고내년 1학기에 전공필수 학점을 수강하는 것이 가능한가요??(이번 2학기에 전공필수 학점 중 3학점을 제외하고 듣는다면,내년 1학기에 전공필수 학점 3학점만 수강해서 졸업하는 것이 가능한지여쭤보고 싶습니다!)",['8학기 이후에도 졸업필수학점(전필 등)이 남았다면 계속 재학생 신분이 유지됩니다 학교 재학연한인 12학기만 초과하지 않으면됩니다'],['에타조교'],['parent'],132112040
조교님 안녕하십니까?제가 편입생이라서 졸업 기준이 다르다고 알고 있는데혹시 훕스 커리어 디자인을 수강하면 교양으로 학점이 들어갈까요?제가 교양영어 등 다른 학생들이 필수로 수강해야 하는 과목을 안들어도 되는데만약에 그런 과목을 듣게된다면 학점 인정이 안되는 것인지 궁금합니다...답변 부탁드립니다! 감사합니다,"['교양으로 들어가지 않나요? -지나가는 편입생-', '교양과목을 이수한 것이니 교양학점으로 인정됩니다']","['익명1', '에타조교']","['parent', 'parent']",132087636
"안녕하세요! 수고 많으십니다.제가 1학기 때 등록 휴학을 했고 당시엔 면학장학금 신청을 안 한 상태로 등록금을 냈는데요,2학기에 복학 예정이고 2020학년도 2학기 면학장학금을 신청했으면 장학금 수여가 가능한가요? 감사합니다.",['등록휴학 중인 상태에서 장학생에 선발되면 해당 장학금은 복학 학기에 계좌로 후지급됩니다'],['에타조교'],['parent'],131989895
안녕하세요! 조교님 성적장학금 산정시 계절학기 성적이 포함되나요?,"['포함되지 않습니다', '감사합니다!']","['에타조교', '익명(글쓴이)']","['parent', 'parent']",131985617
